,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Baksa,0,0,0,0,( Baksa | 0 ),1.46,( Baksa | 1.46 ),,,21-05-2022
1,,Barpeta,1550,736,250,2536,"( Barpeta | 2536 ), ( Sarthebari | 0 ), ( Kalgachia | 0 ), ( Chenga | 0 ), ( Baghbar | 0 )",7354.50,"( Barpeta | 1286.00 ), ( Sarthebari | 3102.00 ), ( Kalgachia | 1457.00 ), ( Chenga | 1153.00 ), ( Baghbar | 356.50 )",,,21-05-2022
2,,Biswanath,391,248,104,743,"( Naduar RC part | 0 ), ( Halem | 0 ), ( Gohpur | 582 ), ( Biswanath | 161 )",398.00,"( Naduar RC part | 41.00 ), ( Halem | 0.00 ), ( Gohpur | 215.00 ), ( Biswanath | 142.00 )",,,21-05-2022
3,,Bongaigaon,0,0,0,0,"( Manikpur | 0 ), ( Srijangram | 0 )",431.00,"( Manikpur | 143.00 ), ( Srijangram | 288.00 )",,,21-05-2022
4,,Cachar,83630,39512,54812,177954,"( Silchar | 37000 ), ( Katigorah | 77967 ), ( Udharbond | 5780 ), ( Lakhipur | 37220 ), ( Sonai | 19987 )",4116.75,"( Silchar | 501.00 ), ( Katigorah | 2015.00 ), ( Udharbond | 217.00 ), ( Lakhipur | 375.00 ), ( Sonai | 1008.75 )",,,21-05-2022
5,,Charaideo,0,0,0,0,( Sonari | 0 ),1.60,( Sonari | 1.60 ),,,21-05-2022
6,,Darrang,18032,15906,10444,44382,"( Patharighat | 18560 ), ( Dalgaon | 1270 ), ( Mangaldoi | 24417 ), ( Sipajhar | 135 )",20195.40,"( Patharighat | 298.90 ), ( Dalgaon | 7441.50 ), ( Mangaldoi | 11963.00 ), ( Sipajhar | 492.00 )",,,21-05-2022
7,,Dhemaji,315,260,69,644,"( Jonai | 0 ), ( Dhemaji | 644 )",384.20,"( Jonai | 372.20 ), ( Dhemaji | 12.00 )",,,21-05-2022
8,,Dhubri,0,0,0,0,"( Dhubri | 0 ), ( Golakganj | 0 ), ( Gauripur | 0 ), ( South Salmara Part | 0 )",4574.70,"( Dhubri | 1236.50 ), ( Golakganj | 1215.00 ), ( Gauripur | 1137.00 ), ( South Salmara Part | 986.20 )",,,21-05-2022
9,,Dibrugarh,1949,1490,1148,4587,( Chabua | 4587 ),3.50,( Chabua | 3.50 ),,,21-05-2022
