,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,124221,111379,24100,259700,"( Sarupeta | 98700 ), ( Bajali | 161000 )",412.00,"( Sarupeta | 412.00 ), ( Bajali | 0.00 )",,,22-06-2022
1,,Baksa,8638,6624,5930,21192,"( Barnagar RC part | 20957 ), ( Barama | 56 ), ( Baganpara | 179 )",410.00,"( Barnagar RC part | 410.00 ), ( Barama | 0.00 ), ( Baganpara | 0.00 )",,,22-06-2022
2,,Barpeta,464384,420819,244187,1129390,"( Baghbar | 310212 ), ( Barpeta | 145377 ), ( Sarthebari | 335837 ), ( Kalgachia | 173378 ), ( Barnagar | 10103 ), ( Chenga | 154483 )",27229.00,"( Baghbar | 18983.00 ), ( Barpeta | 869.00 ), ( Sarthebari | 2080.00 ), ( Kalgachia | 1823.50 ), ( Barnagar | 780.50 ), ( Chenga | 2693.00 )",,,22-06-2022
3,,Biswanath,0,0,0,0,"( Gohpur | 0 ), ( Halem | 0 )",167.00,"( Gohpur | 0.00 ), ( Halem | 167.00 )",,,22-06-2022
4,,Bongaigaon,26071,20813,27658,74542,"( Manikpur | 0 ), ( Srijangram | 7570 ), ( Boitamari | 66972 )",0.00,"( Manikpur | 0.00 ), ( Srijangram | 0.00 ), ( Boitamari | 0.00 )",,,22-06-2022
5,,Cachar,91611,85154,55237,232002,"( Katigorah | 89156 ), ( Lakhipur | 20361 ), ( Silchar | 52850 ), ( Sonai | 64200 ), ( Udharbond | 5435 )",0.00,"( Katigorah | 0.00 ), ( Lakhipur | 0.00 ), ( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Udharbond | 0.00 )",,,22-06-2022
6,,Chirang,716,734,966,2416,"( Sidli | 0 ), ( Bijni | 622 ), ( Bengtal | 1794 )",0.00,"( Sidli | 0.00 ), ( Bijni | 0.00 ), ( Bengtal | 0.00 )",,,22-06-2022
7,,Darrang,194038,159344,62594,415976,"( Dalgaon | 77400 ), ( Patharighat | 75359 ), ( Sipajhar | 138210 ), ( Mangaldoi | 125007 )",9687.50,"( Dalgaon | 3795.50 ), ( Patharighat | 1400.00 ), ( Sipajhar | 1654.00 ), ( Mangaldoi | 2838.00 )",,,22-06-2022
8,,Dhemaji,14764,11578,9177,35519,"( Jonai | 17982 ), ( Sissiborgaon | 17078 ), ( Dhemaji | 459 )",6602.50,"( Jonai | 5685.50 ), ( Sissiborgaon | 910.00 ), ( Dhemaji | 7.00 )",,,22-06-2022
9,,Dhubri,215063,198574,183516,597153,"( Dhubri | 63237 ), ( Bilasipara | 125503 ), ( Golakganj | 0 ), ( South Salmara Part | 265395 ), ( Athani | 143018 ), ( Gauripur | 0 ), ( Chapar | 0 ), ( Agamoni | 0 )",6376.70,"( Dhubri | 711.00 ), ( Bilasipara | 0.00 ), ( Golakganj | 189.00 ), ( South Salmara Part | 3769.00 ), ( Athani | 0.00 ), ( Gauripur | 695.10 ), ( Chapar | 1012.60 ), ( Agamoni | 0.00 )",,,22-06-2022
10,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),2.50,( Chabua | 2.50 ),,,22-06-2022
11,,Goalpara,111409,93266,36161,240836,"( Matia | 11286 ), ( Lakhipur | 140349 ), ( Balijana | 89160 ), ( Rongjuli | 0 ), ( Dudhnoi | 41 )",944.40,"( Matia | 321.00 ), ( Lakhipur | 0.00 ), ( Balijana | 623.40 ), ( Rongjuli | 0.00 ), ( Dudhnoi | 0.00 )",,,22-06-2022
12,,Golaghat,9522,8952,2955,21429,"( Bokakhat | 21429 ), ( Khumtai | 0 )",124.50,"( Bokakhat | 108.50 ), ( Khumtai | 16.00 )",,,22-06-2022
13,,Hailakandi,19025,19537,12837,51399,"( Algapur | 27555 ), ( Hailakandi | 13044 ), ( Lala | 10800 ), ( Katlicherra | 0 )",95.00,"( Algapur | 45.00 ), ( Hailakandi | 19.00 ), ( Lala | 31.00 ), ( Katlicherra | 0.00 )",,,22-06-2022
14,,Hojai,26242,19487,7781,53510,"( Hojai | 19036 ), ( Lanka | 6832 ), ( Doboka | 27642 )",1800.00,"( Hojai | 539.00 ), ( Lanka | 815.00 ), ( Doboka | 446.00 )",,,22-06-2022
