,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Cachar,56178,51506,39888,147572,"( Katigorah | 48234 ), ( Lakhipur | 1085 ), ( Silchar | 98253 )",,,0.00,"( Katigorah | 0.00 ), ( Lakhipur | 0.00 ), ( Silchar | 0.00 )",13-07-2022
1,,Chirang,65,55,33,153,( Bijni | 153 ),,,0.00,( Bijni | 0.00 ),13-07-2022
2,,Golaghat,0,0,0,0,( Bokakhat | 0 ),,,10.00,( Bokakhat | 10.00 ),13-07-2022
3,,Morigaon,42127,41078,17859,101064,( Morigaon | 101064 ),,,550.00,( Morigaon | 550.00 ),13-07-2022
4,,Nagaon,303,116,38,457,"( Kampur | 0 ), ( Raha | 457 )",,,91.40,"( Kampur | 0.00 ), ( Raha | 91.40 )",13-07-2022
5,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,,0.00,( Goreswar | 0.00 ),13-07-2022
6,,Total,99218,93157,57923,250298,,,,651.40,,13-07-2022
