,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,160560,125205,30105,315870,"( Sarupeta | 155870 ), ( Bajali | 160000 )",460.00,"( Sarupeta | 460.00 ), ( Bajali | 0.00 )",,,21-06-2022
1,,Baksa,8937,6991,6067,21995,"( Barnagar RC part | 21038 ), ( Baska | 0 ), ( Barama | 105 ), ( Baganpara | 0 ), ( Jalah | 852 )",452.00,"( Barnagar RC part | 410.00 ), ( Baska | 0.00 ), ( Barama | 0.00 ), ( Baganpara | 0.00 ), ( Jalah | 42.00 )",,,21-06-2022
2,,Barpeta,509455,480838,261066,1251359,"( Barpeta | 180839 ), ( Chenga | 154483 ), ( Baghbar | 370497 ), ( Sarthebari | 335837 ), ( Kalgachia | 198692 ), ( Barnagar | 11011 )",27601.00,"( Barpeta | 870.00 ), ( Chenga | 2693.00 ), ( Baghbar | 18983.00 ), ( Sarthebari | 2028.00 ), ( Kalgachia | 1823.50 ), ( Barnagar | 1203.50 )",,,21-06-2022
3,,Biswanath,0,0,0,0,"( Gohpur | 0 ), ( Naduar RC part | 0 ), ( Halem | 0 ), ( Biswanath | 0 )",443.50,"( Gohpur | 0.00 ), ( Naduar RC part | 22.50 ), ( Halem | 411.00 ), ( Biswanath | 10.00 )",,,21-06-2022
4,,Bongaigaon,81398,71666,83006,236070,"( Srijangram | 166318 ), ( Manikpur | 2780 ), ( Boitamari | 66972 )",172.00,"( Srijangram | 0.00 ), ( Manikpur | 172.00 ), ( Boitamari | 0.00 )",,,21-06-2022
5,,Cachar,84281,78662,53908,216851,"( Silchar | 42782 ), ( Lakhipur | 19800 ), ( Sonai | 62200 ), ( Udharbond | 4950 ), ( Katigorah | 87119 )",41.00,"( Silchar | 0.00 ), ( Lakhipur | 0.00 ), ( Sonai | 41.00 ), ( Udharbond | 0.00 ), ( Katigorah | 0.00 )",,,21-06-2022
6,,Chirang,1217,1059,1259,3535,"( Bijni | 1451 ), ( Bengtal | 2084 )",2444.90,"( Bijni | 2444.90 ), ( Bengtal | 0.00 )",,,21-06-2022
7,,Darrang,243968,204349,99104,547421,"( Mangaldoi | 125007 ), ( Dalgaon | 185900 ), ( Sipajhar | 155764 ), ( Patharighat | 80750 )",9626.50,"( Mangaldoi | 2838.00 ), ( Dalgaon | 3795.50 ), ( Sipajhar | 1593.00 ), ( Patharighat | 1400.00 )",,,21-06-2022
8,,Dhemaji,15547,12511,9621,37679,"( Jonai | 20042 ), ( Sissiborgaon | 17078 ), ( Dhemaji | 559 )",7079.50,"( Jonai | 6158.50 ), ( Sissiborgaon | 912.00 ), ( Dhemaji | 9.00 )",,,21-06-2022
9,,Dhubri,214071,196434,184203,594708,"( Dhubri | 53248 ), ( Agamoni | 1190 ), ( Gauripur | 0 ), ( Chapar | 690 ), ( Bilasipara | 130503 ), ( South Salmara Part | 265395 ), ( Golakganj | 301 ), ( Athani | 143381 )",8978.83,"( Dhubri | 711.00 ), ( Agamoni | 0.00 ), ( Gauripur | 695.10 ), ( Chapar | 1018.20 ), ( Bilasipara | 0.00 ), ( South Salmara Part | 3769.00 ), ( Golakganj | 378.00 ), ( Athani | 2407.53 )",,,21-06-2022
10,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),2.50,( Chabua | 2.50 ),,,21-06-2022
11,,Goalpara,137325,104210,42833,284368,"( Matia | 13546 ), ( Balijana | 99311 ), ( Lakhipur | 171429 ), ( Dudhnoi | 82 ), ( Rongjuli | 0 )",1376.50,"( Matia | 614.00 ), ( Balijana | 762.50 ), ( Lakhipur | 0.00 ), ( Dudhnoi | 0.00 ), ( Rongjuli | 0.00 )",,,21-06-2022
12,,Golaghat,11878,10977,3677,26532,"( Bokakhat | 26532 ), ( Khumtai | 0 )",96.00,"( Bokakhat | 80.00 ), ( Khumtai | 16.00 )",,,21-06-2022
13,,Hailakandi,36237,20345,19608,76190,"( Algapur | 54241 ), ( Hailakandi | 6611 ), ( Lala | 14000 ), ( Katlicherra | 1338 )",106.00,"( Algapur | 42.00 ), ( Hailakandi | 16.00 ), ( Lala | 29.00 ), ( Katlicherra | 19.00 )",,,21-06-2022
