,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,1222,1166,212,2600,"( Sarupeta | 55 ), ( Bajali | 2545 )",10.00,"( Sarupeta | 10.00 ), ( Bajali | 0.00 )",,,27-06-2022
1,,Baksa,4578,3115,2699,10392,"( Barnagar RC part | 10392 ), ( Jalah | 0 )",410.00,"( Barnagar RC part | 410.00 ), ( Jalah | 0.00 )",,,27-06-2022
2,,Barpeta,246774,234669,133507,614950,"( Baghbar | 190527 ), ( Sarthebari | 250640 ), ( Barpeta | 53631 ), ( Chenga | 91352 ), ( Kalgachia | 23102 ), ( Barnagar | 5698 )",26958.50,"( Baghbar | 18983.00 ), ( Sarthebari | 2080.00 ), ( Barpeta | 550.00 ), ( Chenga | 3348.50 ), ( Kalgachia | 1648.00 ), ( Barnagar | 349.00 )",,,27-06-2022
3,,Cachar,193343,161066,122756,477165,"( Sonai | 92400 ), ( Udharbond | 3300 ), ( Silchar | 205002 ), ( Lakhipur | 22022 ), ( Katigorah | 154441 )",0.00,"( Sonai | 0.00 ), ( Udharbond | 0.00 ), ( Silchar | 0.00 ), ( Lakhipur | 0.00 ), ( Katigorah | 0.00 )",,,27-06-2022
4,,Chirang,381,424,263,1068,"( Sidli | 226 ), ( Bijni | 593 ), ( Bengtal | 249 )",0.00,"( Sidli | 0.00 ), ( Bijni | 0.00 ), ( Bengtal | 0.00 )",,,27-06-2022
5,,Darrang,25365,22637,7267,55269,"( Dalgaon | 0 ), ( Sipajhar | 20186 ), ( Patharighat | 10344 ), ( Mangaldoi | 24739 )",6498.85,"( Dalgaon | 465.85 ), ( Sipajhar | 1615.00 ), ( Patharighat | 1000.00 ), ( Mangaldoi | 3418.00 )",,,27-06-2022
6,,Dhemaji,4468,4127,2376,10971,"( Sissiborgaon | 9305 ), ( Jonai | 1139 ), ( Dhemaji | 527 )",2009.70,"( Sissiborgaon | 150.00 ), ( Jonai | 1842.70 ), ( Dhemaji | 17.00 )",,,27-06-2022
7,,Goalpara,7232,5878,2719,15829,"( Matia | 0 ), ( Balijana | 7504 ), ( Lakhipur | 8325 )",152.00,"( Matia | 54.00 ), ( Balijana | 98.00 ), ( Lakhipur | 0.00 )",,,27-06-2022
8,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",53.00,"( Bokakhat | 40.00 ), ( Khumtai | 13.00 )",,,27-06-2022
9,,Hailakandi,363,293,67,723,"( Algapur | 0 ), ( Hailakandi | 723 ), ( Lala | 0 )",0.00,"( Algapur | 0.00 ), ( Hailakandi | 0.00 ), ( Lala | 0.00 )",,,27-06-2022
10,,Kamrup,104309,60420,30974,195703,"( Rangia | 2721 ), ( Hajo | 179600 ), ( Chamaria | 0 ), ( Kamalpur | 253 ), ( Kayan | 48 ), ( North Ghy | 13081 )",2442.20,"( Rangia | 110.50 ), ( Hajo | 790.00 ), ( Chamaria | 72.20 ), ( Kamalpur | 1045.00 ), ( Kayan | 344.50 ), ( North Ghy | 80.00 )",,,27-06-2022
11,,Kamrup (M),745,510,0,1255,"( Chandrapur | 0 ), ( Sonapur | 1255 )",806.50,"( Chandrapur | 80.00 ), ( Sonapur | 726.50 )",,,27-06-2022
12,,Karimganj,63857,42664,20414,126935,"( Nilambazar | 21516 ), ( Badarpur | 30589 ), ( RK Nagar | 39140 ), ( Patherkandi | 190 ), ( Karimganj | 35500 )",3500.00,"( Nilambazar | 0.00 ), ( Badarpur | 0.00 ), ( RK Nagar | 3500.00 ), ( ",,,27-06-2022
13,,Lakhimpur,2327,1303,1210,4840,"( Bihpuria | 0 ), ( Subansiri | 0 ), ( Nowboicha | 4830 ), ( Dhakuakhana | 10 )",,0.00,"( Bihpuria | 0.00 ), ( Subansiri | 0.00 ), ( Nowboicha | 0.00 ), ( Dhakuakhana | 0.00 )",,27-06-2022
14,,Morigaon,37065,33382,19651,90098,"( Mikirbheta | 12963 ), ( Bhuragaon | 0 ), ( Mayong | 5941 ), ( Morigaon | 71194 )",,12070.00,"( Mikirbheta | 692.00 ), ( Bhuragaon | 558.00 ), ( Mayong | 8620.00 ), ( Morigaon | 2200.00 )",,27-06-2022
15,,Nagaon,182320,171201,159540,513061,"( Nagaon | 102790 ), ( Kampur | 258000 ), ( Raha | 152271 )",,18753.14,"( Nagaon | 504.00 ), ( Kampur | 8250.00 ), ( Raha | 9999.14 )",,27-06-2022
16,,Nalbari,11268,11389,4657,27314,"( Paschim Nalbari | 18358 ), ( Barbhag | 8956 )",,693.00,"( Paschim Nalbari | 554.00 ), ( Barbhag | 139.00 )",,27-06-2022
17,,Sonitpur,330,478,281,1089,( Dhekiajuli | 1089 ),,299.00,( Dhekiajuli | 299.00 ),,27-06-2022
18,,Tamulpur,1010,989,845,2844,( Goreswar | 2844 ),,0.00,( Goreswar | 0.00 ),,27-06-2022
19,,Udalguri,153,91,65,309,"( Udalguri | 309 ), ( Kalaigaon | 0 ), ( Harisinga | 0 ), ( Khairabari | 0 )",,0.00,"( Udalguri | 0.00 ), ( Kalaigaon | 0.00 ), ( Harisinga | 0.00 ), ( Khairabari | 0.00 )",,27-06-2022
20,,Total,887110,755802,509503,2152415,,,74655.89,,,27-06-2022
