,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,22389,21932,5081,49402,"( Sarupeta | 20040 ), ( Bajali | 29362 )",155.00,"( Sarupeta | 155.00 ), ( Bajali | 0.00 )",,,24-06-2022
1,,Baksa,12030,8152,5734,25916,"( Baska | 0 ), ( Barnagar RC part | 16874 ), ( Baganpara | 9042 ), ( Jalah | 0 )",410.00,"( Baska | 0.00 ), ( Barnagar RC part | 410.00 ), ( Baganpara | 0.00 ), ( Jalah | 0.00 )",,,24-06-2022
2,,Barpeta,353838,334675,188329,876842,"( Barpeta | 95034 ), ( Baghbar | 261212 ), ( Barnagar | 13792 ), ( Kalgachia | 111563 ), ( Chenga | 144601 ), ( Sarthebari | 250640 )",27017.00,"( Barpeta | 657.00 ), ( Baghbar | 18983.00 ), ( Barnagar | 780.50 ), ( Kalgachia | 1823.50 ), ( Chenga | 2693.00 ), ( Sarthebari | 2080.00 )",,,24-06-2022
3,,Biswanath,0,0,0,0,( Halem | 0 ),63.00,( Halem | 63.00 ),,,24-06-2022
4,,Bongaigaon,60,71,16,147,"( Manikpur | 0 ), ( Srijangram | 147 )",0.00,"( Manikpur | 0.00 ), ( Srijangram | 0.00 )",,,24-06-2022
5,,Cachar,107175,96064,73106,276345,"( Katigorah | 96130 ), ( Lakhipur | 15455 ), ( Silchar | 91050 ), ( Sonai | 68270 ), ( Udharbond | 5440 )",77.70,"( Katigorah | 0.00 ), ( Lakhipur | 77.70 ), ( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Udharbond | 0.00 )",,,24-06-2022
6,,Chirang,182,234,127,543,( Bijni | 543 ),0.00,( Bijni | 0.00 ),,,24-06-2022
7,,Darrang,65488,63634,41629,170751,"( Sipajhar | 59152 ), ( Patharighat | 29572 ), ( Mangaldoi | 80600 ), ( Dalgaon | 1427 )",7472.21,"( Sipajhar | 1615.00 ), ( Patharighat | 703.50 ), ( Mangaldoi | 3418.00 ), ( Dalgaon | 1735.71 )",,,24-06-2022
8,,Dhemaji,15644,14623,10101,40368,"( Jonai | 15459 ), ( Sissiborgaon | 13488 ), ( Gogamukh | 6453 ), ( Dhemaji | 4968 )",6351.06,"( Jonai | 4581.50 ), ( Sissiborgaon | 1717.56 ), ( Gogamukh | 0.00 ), ( Dhemaji | 52.00 )",,,24-06-2022
9,,Dhubri,68967,59225,56492,184684,"( Bilasipara | 42941 ), ( Dhubri | 12423 ), ( Gauripur | 0 ), ( Athani | 0 ), ( South Salmara Part | 129320 ), ( Agamoni | 0 )",4480.00,"( Bilasipara | 0.00 ), ( Dhubri | 711.00 ), ( Gauripur | 0.00 ), ( Athani | 0.00 ), ( South Salmara Part | 3769.00 ), ( Agamoni | 0.00 )",,,24-06-2022
10,,Goalpara,65836,46103,20159,132098,"( Matia | 4849 ), ( Lakhipur | 78109 ), ( Balijana | 49140 ), ( Rongjuli | 0 )",882.20,"( Matia | 284.00 ), ( Lakhipur | 0.00 ), ( Balijana | 598.20 ), ( Rongjuli | 0.00 )",,,24-06-2022
11,,Golaghat,3199,2988,1566,7753,"( Bokakhat | 7753 ), ( Khumtai | 0 )",81.00,"( Bokakhat | 65.00 ), ( Khumtai | 16.00 )",,,24-06-2022
12,,Hailakandi,10760,8443,7985,27188,"( Katlicherra | 0 ), ( Lala | 110 ), ( Algapur | 18518 ), ( Hailakandi | 8560 )",138.00,"( Katlicherra | 0.00 ), ( Lala | 42.00 ), ( Algapur | 59.00 ), ( Hailakandi | 37.00 )",,,24-06-2022
13,,Hojai,4860,3243,1658,9761,"( Hojai | 2841 ), ( Doboka | 4860 ), ( Lanka | 2060 )",1071.00,"( Hojai | 117.00 ), ( Doboka | 139.00 ), ( Lanka | 815.00 )",,,24-06-2022
14,,Kamrup,196921,122523,82068,401512,"( Rangia | 12269 ), ( Hajo | 166700 ), ( Chamaria | 0 ), ( Chaygaon | 0 ), ( Kamalpur | 188602 ), ( Nagarbera | 0 ), ( Goroimari | 0 ), ( Kayan | 10628 ), ( Palashbari | 0 ), ( North Ghy | 23313 )",3885.44,"( Rangia | 654.24 ), ( Hajo | 781.00 ), ( Chamaria | 79.20 ), ( Chaygaon | 33.00 ), ( Kamalpur | 1045.00 ), ( Nagarbera | 200.00 ), ( Goroimari | 500.00 ), ( Kayan | 344.50 ), ( Palashbari | 46.00 ), ( North Ghy | 202.50 )",,,24-06-2022
15,,Kamrup (M),1166,780,5,1951,"( Sonapur | 1951 ), ( Chandrapur | 0 )",899.50,"( Sonapur | 726.50 ), ( Chandrapur | 173.00 )",,,24-06-2022
16,,Karbi Anglong West,488,491,536,1515,( Donkamokam | 1515 ),0.00,( Donkamokam | 0.00 ),,,24-06-2022
17,,Karimganj,105165,77523,33723,216411,"( RK Nagar | 51140 ), ( Badarpur | 44571 ), ( Nilambazar | 62318 ), ( Patherkandi | 1627 ), ( Karimganj | 56755 )",300.00,"( RK Nagar | 300.00 ), ( Badarpur | 0.00 ), ( Nilambazar | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 0.00 )",,,24-06-2022
