,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,114,93,44,251,( Sarupeta | 251 ),,0.00,( Sarupeta | 0.00 ),,10-07-2022
1,,Biswanath,491,362,197,1050,( Halem | 1050 ),,12.50,( Halem | 12.50 ),,10-07-2022
2,,Cachar,131259,124574,100127,355960,"( Silchar | 210938 ), ( Sonai | 16172 ), ( Lakhipur | 50150 ), ( Katigorah | 78700 )",,0.00,"( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 ), ( Katigorah | 0.00 )",,10-07-2022
3,,Chirang,65,55,33,153,( Bijni | 153 ),,0.00,( Bijni | 0.00 ),,10-07-2022
4,,Golaghat,0,0,0,0,( Bokakhat | 0 ),,21.00,( Bokakhat | 21.00 ),,10-07-2022
5,,Hailakandi,1350,125,740,2215,"( Lala | 0 ), ( Hailakandi | 0 ), ( Algapur | 2215 ), ( Katlicherra | 0 )",,0.00,"( Lala | 0.00 ), ( Hailakandi | 0.00 ), ( Algapur | 0.00 ), ( Katlicherra | 0.00 )",,10-07-2022
6,,Kamrup,19,15,4,38,( Kayan | 38 ),,0.00,( Kayan | 0.00 ),,10-07-2022
7,,Morigaon,58666,55888,28108,142662,"( Morigaon | 124116 ), ( Mayong | 0 ), ( Mikirbheta | 18546 ), ( Bhuragaon | 0 )",,3847.50,"( Morigaon | 620.00 ), ( Mayong | 1100.00 ), ( Mikirbheta | 1771.50 ), ( Bhuragaon | 356.00 )",,10-07-2022
8,,Nagaon,15428,12547,6748,34723,( Raha | 34723 ),,3472.01,( Raha | 3472.01 ),,10-07-2022
9,,Sivasagar,507,438,285,1230,"( Sivsagar | 0 ), ( Demow | 1230 )",,15.40,"( Sivsagar | 0.00 ), ( Demow | 15.40 )",,10-07-2022
10,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,0.00,( Goreswar | 0.00 ),,10-07-2022
11,,Total,208444,194499,136391,539334,,,7368.41,,,10-07-2022
