,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Barpeta,27,11,0,38,"( Barpeta | 38 ), ( Kalgachia | 0 ), ( Chenga | 0 ), ( Sarthebari | 0 ), ( Baghbar | 0 )",6861.50,"( Barpeta | 0.00 ), ( Kalgachia | 1457.00 ), ( Chenga | 1125.10 ), ( Sarthebari | 3102.00 ), ( Baghbar | 1177.40 )",,,22-05-2022
1,,Biswanath,63,51,17,131,( Gohpur | 131 ),83.00,( Gohpur | 83.00 ),,,22-05-2022
2,,Cachar,91636,83309,54330,229275,"( Katigorah | 97579 ), ( Udharbond | 10203 ), ( Silchar | 37000 ), ( Lakhipur | 44538 ), ( Sonai | 39955 )",5915.00,"( Katigorah | 3125.00 ), ( Udharbond | 146.00 ), ( Silchar | 1268.00 ), ( Lakhipur | 223.00 ), ( Sonai | 1153.00 )",,,22-05-2022
3,,Darrang,12123,10075,5803,28001,"( Patharighat | 9717 ), ( Dalgaon | 292 ), ( Mangaldoi | 17992 ), ( Sipajhar | 0 )",20197.40,"( Patharighat | 298.90 ), ( Dalgaon | 7441.50 ), ( Mangaldoi | 11963.00 ), ( Sipajhar | 494.00 )",,,22-05-2022
4,,Dhemaji,0,0,0,0,( Jonai | 0 ),372.20,( Jonai | 372.20 ),,,22-05-2022
5,,Dhubri,0,0,0,0,"( Dhubri | 0 ), ( South Salmara Part | 0 ), ( Gauripur | 0 )",4097.50,"( Dhubri | 1413.00 ), ( South Salmara Part | 1172.00 ), ( Gauripur | 1512.50 )",,,22-05-2022
6,,Goalpara,0,0,0,0,"( Lakhipur | 0 ), ( Balijana | 0 ), ( Matia | 0 ), ( Rongjuli | 0 )",15477.00,"( Lakhipur | 10060.00 ), ( Balijana | 2408.00 ), ( Matia | 2522.00 ), ( Rongjuli | 487.00 )",,,22-05-2022
7,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",42.00,"( Bokakhat | 25.00 ), ( Khumtai | 17.00 )",,,22-05-2022
8,,Hojai,30037,22667,5689,58393,"( Lanka | 975 ), ( Doboka | 52458 ), ( Hojai | 4960 )",1916.00,"( Lanka | 221.00 ), ( Doboka | 1183.00 ), ( Hojai | 512.00 )",,,22-05-2022
9,,Jorhat,0,0,0,0,"( Jorhat West | 0 ), ( Jorhat East | 0 )",154.00,"( Jorhat West | 119.00 ), ( Jorhat East | 35.00 )",,,22-05-2022
10,,Kamrup,130,46,40,216,"( Chamaria | 0 ), ( Nagarbera | 0 ), ( Chaygaon | 0 ), ( Rangia | 0 ), ( Boko | 0 ), ( Goroimari | 0 ), ( North Ghy | 0 ), ( Hajo | 0 ), ( Kayan | 0 ), ( Kamalpur | 216 )",5298.20,"( Chamaria | 1829.50 ), ( Nagarbera | 1296.00 ), ( Chaygaon | 50.00 ), ( Rangia | 37.50 ), ( Boko | 69.00 ), ( Goroimari | 485.50 ), ( North Ghy | 2.13 ), ( Hajo | 1385.57 ), ( Kayan | 99.00 ), ( Kamalpur | 44.00 )",,,22-05-2022
11,,Kamrup (M),0,0,0,0,"( Chandrapur | 0 ), ( Sonapur | 0 )",1185.50,"( Chandrapur | 883.00 ), ( Sonapur | 302.50 )",,,22-05-2022
12,,Karbi Anglong West,800,922,280,2002,( Donkamokam | 2002 ),541.00,( Donkamokam | 541.00 ),,,22-05-2022
13,,Karimganj,7144,5074,4164,16382,"( Karimganj | 10996 ), ( Badarpur | 5386 )",,0.00,"( Karimganj | 0.00 ), ( Badarpur | 0.00 )",,22-05-2022
14,,Lakhimpur,0,0,0,0,"( Narayanpur | 0 ), ( Bihpuria | 0 )",,1060.20,"( Narayanpur | 581.20 ), ( Bihpuria | 479.00 )",,22-05-2022
15,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,68.44,"( Majuli | 42.51 ), ( Ujani Majuli | 25.93 )",,22-05-2022
16,,Morigaon,15100,14574,8864,38538,"( Mayong | 0 ), ( Morigaon | 38538 )",,13061.33,"( Mayong | 9402.00 ), ( Morigaon | 3659.33 )",,22-05-2022
17,,Nagaon,150069,134061,61708,345838,"( Kampur | 237158 ), ( Nagaon | 24973 ), ( Raha | 83707 )",,14710.24,"( Kampur | 5600.00 ), ( Nagaon | 3409.00 ), ( Raha | 5701.24 )",,22-05-2022
18,,Nalbari,49,44,22,115,"( Barbhag | 0 ), ( Barkhetri | 0 ), ( Tihu | 0 ), ( Ghograpar | 0 ), ( Nalbari | 0 ), ( Paschim Nalbari | 115 )",,3935.00,"( Barbhag | 192.50 ), ( Barkhetri | 3295.00 ), ( Tihu | 34.00 ), ( Ghograpar | 100.50 ), ( Nalbari | 152.00 ), ( Paschim Nalbari | 161.00 )",,22-05-2022
19,,Sonitpur,100,95,25,220,"( Naduar | 220 ), ( Dhekiajuli | 0 )",,498.00,"( Naduar | 50.00 ), ( Dhekiajuli | 448.00 )",,22-05-2022
20,,Udalguri,100,68,108,276,"( Harisinga | 0 ), ( Kalaigaon | 0 ), ( Mazbat | 276 )",,0.00,"( Harisinga | 0.00 ), ( Kalaigaon | 0.00 ), ( Mazbat | 0.00 )",,22-05-2022
21,,Total,307378,270997,141050,719425,,,95473.51,,,22-05-2022
