,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Golaghat,547,558,282,1387,( Golaghat | 1387 ),,10.00,( Golaghat | 10.00 ),14-09-2022
1,,Total,547,558,282,1387,,,10.00,,14-09-2022
