,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Cachar,59765,53683,34547,147995,"( Silchar | 30099 ), ( Katigorah | 78305 ), ( Lakhipur | 16906 ), ( Sonai | 18775 ), ( Udharbond | 3910 )",4781.80,"( Silchar | 1174.00 ), ( Katigorah | 2151.00 ), ( Lakhipur | 207.00 ), ( Sonai | 1103.80 ), ( Udharbond | 146.00 )",,,27-05-2022
1,,Dima-Hasao,98,124,112,334,( Haflong | 334 ),22.25,( Haflong | 22.25 ),,,27-05-2022
2,,Goalpara,0,0,0,0,"( Lakhipur | 0 ), ( Balijana | 0 ), ( Dudhnoi | 0 ), ( Rongjuli | 0 ), ( Matia | 0 )",2278.00,"( Lakhipur | 633.00 ), ( Balijana | 1148.00 ), ( Dudhnoi | 60.00 ), ( Rongjuli | 198.00 ), ( Matia | 239.00 )",,,27-05-2022
3,,Golaghat,0,0,0,0,( Khumtai | 0 ),17.00,( Khumtai | 17.00 ),,,27-05-2022
4,,Hojai,55,28,7,90,"( Doboka | 0 ), ( Hojai | 90 )",11.00,"( Doboka | 0.00 ), ( Hojai | 11.00 )",,,27-05-2022
5,,Kamrup,0,0,0,0,"( Chamaria | 0 ), ( Kamalpur | 0 ), ( Hajo | 0 ), ( Boko | 0 ) ",1256.10,"( Chamaria | 320.00 ), ( Kamalpur | 33.10 ), ( Hajo | 873.00 ",,,27-05-2022
6,,Kamrup (M),0,0,0,0,( Sonapur | 0 ),,120.00,( Sonapur | 120.00 ),,27-05-2022
7,,Morigaon,16102,15613,9321,41036,"( Morigaon | 41036 ), ( Mayong | 0 )",,11120.33,"( Morigaon | 4260.33 ), ( Mayong | 6860.00 )",,27-05-2022
8,,Nagaon,119618,107014,84765,311397,"( Nagaon | 57360 ), ( Kampur | 138598 ), ( Raha | 115439 )",,15777.64,"( Nagaon | 4244.50 ), ( Kampur | 4600.00 ), ( Raha | 6933.14 )",,27-05-2022
9,,Total,195638,176462,128752,500852,,,35384.12,,,27-05-2022
