,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,16199,14690,7885,38774,"( Dhemaji | 7167 ), ( Jonai | 11687 ), ( Sissiborgaon | 12905 ), ( Gogamukh | 7015 )",,2838.40,"( Dhemaji | 120.00 ), ( Jonai | 1085.40 ), ( Sissiborgaon | 1433.00 ), ( Gogamukh | 200.00 )",12-10-2022
1,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),,0.00,( Chabua | 0.00 ),12-10-2022
2,,Golaghat,0,0,0,0,( Bokakhat | 0 ),,15.00,( Bokakhat | 15.00 ),12-10-2022
3,,Lakhimpur,11348,9124,6647,27119,"( North Lakhimpur | 7439 ), ( Nowboicha | 16914 ), ( Bihpuria | 2615 ), ( Subansiri | 151 )",,63.00,"( North Lakhimpur | 40.00 ), ( Nowboicha | 0.00 ), ( Bihpuria | 0.00 ), ( Subansiri | 23.00 )",12-10-2022
4,,Nagaon,0,0,0,0,( Kampur | 0 ),,105.00,( Kampur | 105.00 ),12-10-2022
5,,Total,29114,25054,15582,69750,,,3021.40,,12-10-2022
