,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Tamulpur,109,91,50,250,( Goreswar | 250 ),0.00,( Goreswar | 0.00 ),16-08-2022
1,,Total,109,91,50,250,,0.00,,16-08-2022
