,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,5795,5191,2907,,13893,"( Silchar | 6591 ), ( Katigorah | 7302 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,19-07-2022
1,,Morigaon,4145,2958,1200,,8303,( Morigaon | 8303 ),,270.00,( Morigaon | 270.00 ),,19-07-2022
2,,Tamulpur,457,345,90,,892,( Goreswar | 892 ),,0.00,( Goreswar | 0.00 ),,19-07-2022
3,,Total,10397,8494,4197,,23088,,,270.00,,,19-07-2022
