,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,455,570,255,1280,( Sarupeta | 1280 ),0.00,( Sarupeta | 0.00 ),,,04-07-2022
1,,Barpeta,12632,12666,30723,56021,"( Barpeta | 8498 ), ( Baghbar | 47523 ), ( Kalgachia | 0 )",12113.00,"( Barpeta | 8825.50 ), ( Baghbar | 2127.00 ), ( Kalgachia | 1160.50 )",,,04-07-2022
2,,Biswanath,691,527,216,1434,( Halem | 1434 ),31.50,( Halem | 31.50 ),,,04-07-2022
3,,Cachar,243783,229355,195770,668908,"( Katigorah | 224006 ), ( Silchar | 255748 ), ( Udharbond | 11457 ), ( Sonai | 117547 ), ( Lakhipur | 60150 )",0.00,"( Katigorah | 0.00 ), ( Silchar | 0.00 ), ( Udharbond | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 )",,,04-07-2022
4,,Chirang,206,238,136,580,( Bijni | 580 ),0.00,( Bijni | 0.00 ),,,04-07-2022
5,,Darrang,8368,7707,2314,18389,"( Patharighat | 3076 ), ( Dalgaon | 0 ), ( Sipajhar | 3958 ), ( Mangaldoi | 11355 )",6511.00,"( Patharighat | 1500.00 ), ( Dalgaon | 0.00 ), ( Sipajhar | 1593.00 ), ( Mangaldoi | 3418.00 )",,,04-07-2022
6,,Dibrugarh,5360,3557,1954,10871,"( Moran | 2265 ), ( Chabua | 0 ), ( Dibrugarh West | 7440 ), ( Tingkhong | 37 ), ( Dibrugarh East | 526 ), ( Tengakhat | 163 ), ( Naharkatia | 440 )",304.11,"( Moran | 26.19 ), ( Chabua | 0.00 ), ( Dibrugarh West | 175.89 ), ( Tingkhong | 16.20 ), ( Dibrugarh East | 0.00 ), ( Tengakhat | 0.00 ), ( Naharkatia | 85.83 )",,,04-07-2022
7,,Goalpara,1420,1363,1242,4025,( Balijana | 4025 ),25.00,( Balijana | 25.00 ),,,04-07-2022
8,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",81.00,"( Bokakhat | 63.00 ), ( Khumtai | 18.00 )",,,04-07-2022
9,,Hailakandi,11700,10400,6654,28754,"( Lala | 0 ), ( Katlicherra | 0 ), ( Hailakandi | 0 ), ( Algapur | 28754 )",0.00,"( Lala | 0.00 ), ( Katlicherra | 0.00 ), ( Hailakandi | 0.00 ), ( Algapur | 0.00 )",,,04-07-2022
10,,Hojai,382,210,153,745,"( Lanka | 263 ), ( Hojai | 482 )",174.00,"( Lanka | 158.00 ), ( Hojai | 16.00 )",,,04-07-2022
11,,Kamrup,210,166,58,434,"( Hajo | 296 ), ( Kayan | 38 ), ( North Ghy | 100 )",89.00,"( Hajo | 87.00 ), ( Kayan | 0.00 ), ( North Ghy | 2.00 )",,,04-07-2022
12,,Kamrup (M),1119,785,96,2000,"( Chandrapur | 1118 ), ( Sonapur | 882 )",812.50,"( Chandrapur | 0.00 ), ( Sonapur | 812.50 )",,,04-07-2022
13,,Karimganj,12627,8012,3428,24067,"( Karimganj | 4967 ), ( Nilambazar | 6333 ), ( Badarpur | 9690 ), ( RK Nagar | 3077 )",0.00,"( Karimganj | 0.00 ), ( Nilambazar | 0.00 ), ( Badarpur | 0.00 ), ( RK Nagar | 0.00 )",,,04-07-2022
14,,Lakhimpur,1525,658,321,2504,"( Subansiri | 0 ), ( North Lakhimpur | 2504 ), ( Bihpuria | 0 )",0.00,"( Subansiri | 0.00 ), ( North Lakhimpur | 0.00 ",,,04-07-2022
15,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,27.45,"( Majuli | 10.26 ), ( Ujani Majuli | 17.19 )",,04-07-2022
16,,Morigaon,72201,67858,39074,179133,"( Mikirbheta | 18546 ), ( Mayong | 794 ), ( Bhuragaon | 26751 ), ( Morigaon | 133042 ), ( Laharighat | 0 )",,6816.65,"( Mikirbheta | 1771.50 ), ( Mayong | 3324.00 ), ( Bhuragaon | 925.00 ), ( Morigaon | 750.00 ), ( Laharighat | 46.15 )",,04-07-2022
17,,Nagaon,131980,121912,109437,363329,"( Nagaon | 41652 ), ( Kampur | 171183 ), ( Samaguri | 0 ), ( Raha | 150494 )",,16550.11,"( Nagaon | 320.00 ), ( Kampur | 7191.00 ), ( Samaguri | 4.00 ), ( Raha | 9035.11 )",,04-07-2022
18,,Nalbari,837,765,237,1839,( Paschim Nalbari | 1839 ),,0.00,( Paschim Nalbari | 0.00 ),,04-07-2022
19,,Sivasagar,1520,1380,806,3706,( Demow | 3706 ),,22.80,( Demow | 22.80 ),,04-07-2022
20,,Sonitpur,330,635,411,1376,"( Dhekiajuli | 1376 ), ( Chariduar | 0 ), ( Tezpur | 0 )",,221.00,"( Dhekiajuli | 191.00 ), ( Chariduar | 20.00 ), ( Tezpur | 10.00 )",,04-07-2022
21,,Tamulpur,806,745,408,1959,"( Goreswar | 1959 ), ( Tamulpur | 0 )",,0.00,"( Goreswar | 0.00 ), ( Tamulpur | 0.00 )",,04-07-2022
22,,Udalguri,153,91,65,309,"( Udalguri | 309 ), ( Harisinga | 0 ), ( Kalaigaon | 0 )",,0.00,"( Udalguri | 0.00 ), ( Harisinga | 0.00 ), ( Kalaigaon | 0.00 )",,04-07-2022
23,,Total,508305,469600,393758,1371663,,,43779.12,,,04-07-2022
