,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Darrang,0,0,0,0,( Sipajhar | 0 ),116.00,( Sipajhar | 116.00 ),17-10-2022
1,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",325.00,"( Bokakhat | 321.00 ), ( Khumtai | 4.00 )",17-10-2022
2,,Nagaon,0,0,0,0,( Dhing | 0 ),229.00,( Dhing | 229.00 ),17-10-2022
3,,Total,0,0,0,0,,670.00,,17-10-2022
