,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,668,774,291,1733,"( Bajali | 453 ), ( Sarupeta | 1280 )",0.00,"( Bajali | 0.00 ), ( Sarupeta | 0.00 )",,,02-07-2022
1,,Barpeta,83166,72929,64720,220815,"( Barpeta | 37120 ), ( Baghbar | 98000 ), ( Kalgachia | 19222 ), ( Chenga | 21588 ), ( Sarthebari | 44885 )",14172.00,"( Barpeta | 8825.50 ), ( Baghbar | 2712.00 ), ( Kalgachia | 1301.50 ), ( Chenga | 1319.00 ), ( Sarthebari | 14.00 )",,,02-07-2022
2,,Biswanath,1709,1413,801,3923,"( Gohpur | 580 ), ( Halem | 3343 ), ( Biswanath | 0 )",207.00,"( Gohpur | 109.00 ), ( Halem | 95.00 ), ( Biswanath | 3.00 )",,,02-07-2022
3,,Cachar,482088,421238,328612,1231938,"( Udharbond | 50723 ), ( Silchar | 598925 ), ( Sonai | 265513 ), ( Lakhipur | 92771 ), ( Katigorah | 224006 )",0.00,"( Udharbond | 0.00 ), ( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 ), ( Katigorah | 0.00 )",,,02-07-2022
4,,Charaideo,26,14,10,50,( Sonari | 50 ),0.00,( Sonari | 0.00 ),,,02-07-2022
5,,Chirang,230,260,158,648,( Bijni | 648 ),0.00,( Bijni | 0.00 ),,,02-07-2022
6,,Darrang,17315,15928,5146,38389,"( Dalgaon | 0 ), ( Mangaldoi | 22577 ), ( Patharighat | 3320 ), ( Sipajhar | 12492 )",6501.00,"( Dalgaon | 0.00 ), ( Mangaldoi | 3418.00 ), ( Patharighat | 1500.00 ), ( Sipajhar | 1583.00 )",,,02-07-2022
7,,Dhemaji,8412,6976,6563,21951,"( Sissiborgaon | 5701 ), ( Jonai | 16250 )",375.90,"( Sissiborgaon | 65.00 ), ( Jonai | 310.90 )",,,02-07-2022
8,,Dibrugarh,6703,5264,3506,15473,"( Chabua | 2822 ), ( Moran | 4434 ), ( Dibrugarh West | 3217 ), ( Tingkhong | 312 ), ( Dibrugarh East | 1119 ), ( Naharkatia | 534 ), ( Tengakhat | 3035 )",607.24,"( Chabua | 12.00 ), ( Moran | 127.59 ), ( Dibrugarh West | 189.00 ), ( Tingkhong | 28.13 ), ( Dibrugarh East | 39.50 ), ( Naharkatia | 154.02 ), ( Tengakhat | 57.00 )",,,02-07-2022
9,,Goalpara,3107,2573,1616,7296,"( Lakhipur | 2413 ), ( Balijana | 4883 )",39.00,"( Lakhipur | 0.00 ), ( Balijana | 39.00 )",,,02-07-2022
10,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",92.00,"( Bokakhat | 70.00 ), ( Khumtai | 22.00 )",,,02-07-2022
11,,Hailakandi,17450,16000,9000,42450,"( Katlicherra | 0 ), ( Lala | 0 ), ( Hailakandi | 0 ), ( Algapur | 42450 )",0.00,"( Katlicherra | 0.00 ), ( Lala | 0.00 ), ( Hailakandi | 0.00 ), ( Algapur | 0.00 )",,,02-07-2022
12,,Hojai,367,189,149,705,"( Lanka | 263 ), ( Hojai | 442 )",,"( Lanka | 158.00 ), ( Hojai | 15.00 )","( Lanka | 158.00 ), ( Hojai | 15.00 )",,02-07-2022
13,,Kamrup,1168,763,451,2382,"( Chamaria | 0 ), ( Hajo | 1427 ), ( North Ghy | 909 ), ( Kayan | 46 )",,"( Chamaria | 20.70 ), ( Hajo | 100.00 ), ( North Ghy | 18.50 ), ( Kayan | 30.00 )","( Chamaria | 20.70 ), ( Hajo | 100.00 ), ( North Ghy | 18.50 ), ( Kayan | 30.00 )",,02-07-2022
14,,Kamrup (M),2266,1796,451,4513,"( Chandrapur | 3489 ), ( Sonapur | 1024 )",,"( Chandrapur | 0.00 ), ( Sonapur | 812.50 )","( Chandrapur | 0.00 ), ( Sonapur | 812.50 )",,02-07-2022
15,,Karimganj,14465,9463,4429,28357,"( Nilambazar | 6333 ), ( Karimganj | 6097 ), ( Badarpur | 9860 ), ( Patherkandi | 0 ), ( RK Nagar | 6067 )",,"( Nilambazar | 0.00 ), ( Karimganj | 894.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( RK Nagar | 0.00 )","( Nilambazar | 0.00 ), ( Karimganj | 894.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( RK Nagar | 0.00 )",,02-07-2022
16,,Lakhimpur,10198,9868,5833,25899,"( Subansiri | 0 ), ( North Lakhimpur | 4068 ), ( Narayanpur | 0 ), ( Nowboicha | 0 ), ( Dhakuakhana | 0 ), ( Bihpuria | 21831 )",,"( Subansiri | 60.00 ), ( North Lakhimpur | 0.00 ), ( Narayanpur | 0.00 ), ( Nowboicha | 0.00 ), ( Dhakuakhana | 539.00 ), ( Bihpuria | 0.00 )","( Subansiri | 60.00 ), ( North Lakhimpur | 0.00 ), ( Narayanpur | 0.00 ), ( Nowboicha | 0.00 ), ( Dhakuakhana | 539.00 ), ( Bihpuria | 0.00 )",,02-07-2022
17,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,"( Majuli | 31.50 ), ( Ujani Majuli | 19.76 )","( Majuli | 31.50 ), ( Ujani Majuli | 19.76 )",,02-07-2022
18,,Morigaon,69704,66116,38029,173849,"( Mikirbheta | 18347 ), ( Morigaon | 127957 ), ( Bhuragaon | 26751 ), ( Mayong | 794 ), ( Laharighat | 0 )",,"( Mikirbheta | 1356.50 ), ( Morigaon | 3318.00 ), ( Bhuragaon | 925.00 ), ( Mayong | 2362.00 ), ( Laharighat | 46.15 )","( Mikirbheta | 1356.50 ), ( Morigaon | 3318.00 ), ( Bhuragaon | 925.00 ), ( Mayong | 2362.00 ), ( Laharighat | 46.15 )",,02-07-2022
19,,Nagaon,137780,128214,112946,378940,"( Kaliabor | 78 ), ( Nagaon | 52505 ), ( Kampur | 171183 ), ( Raha | 155174 ), ( Samaguri | 0 ), ( Rupahi | 0 )",,"( Kaliabor | 5.00 ), ( Nagaon | 404.00 ), ( Kampur | 7191.00 ), ( Raha | 9900.20 ), ( Samaguri | 4.00 ), ( Rupahi | 83.00 )","( Kaliabor | 5.00 ), ( Nagaon | 404.00 ), ( Kampur | 7191.00 ), ( Raha | 9900.20 ), ( Samaguri | 4.00 ), ( Rupahi | 83.00 )",,02-07-2022
20,,Nalbari,836,765,237,1838,( Paschim Nalbari | 1838 ),,( Paschim Nalbari | 0.00 ),( Paschim Nalbari | 0.00 ),,02-07-2022
21,,Sivasagar,2602,2257,1604,6463,( Demow | 6463 ),,( Demow | 24.40 ),( Demow | 24.40 ),,02-07-2022
