,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,1109,650,408,2167,( Katigorah | 2167 ),,0.00,( Katigorah | 0.00 ),,26-07-2022
1,,Morigaon,732,588,178,1498,( Morigaon | 1498 ),,176.00,( Morigaon | 176.00 ),,26-07-2022
2,,Tamulpur,457,345,90,892,( Goreswar | 892 ),,0.00,( Goreswar | 0.00 ),,26-07-2022
3,,Total,2298,1583,676,4557,,,176.00,,,26-07-2022
