,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,114,93,44,251,( Sarupeta | 251 ),0.00,( Sarupeta | 0.00 ),,,11-07-2022
1,,Biswanath,319,281,162,762,( Halem | 762 ),8.90,( Halem | 8.90 ),,,11-07-2022
2,,Cachar,74153,71750,62104,208007,"( Udharbond | 0 ), ( Silchar | 152938 ), ( Katigorah | 52890 ), ( Sonai | 0 ), ( Lakhipur | 2179 )",0.00,"( Udharbond | 0.00 ), ( ",,,11-07-2022
3,,Chirang,65,55,33,153,( Bijni | 153 ),,0.00,( Bijni | 0.00 ),,11-07-2022
4,,Golaghat,0,0,0,0,( Bokakhat | 0 ),,18.00,( Bokakhat | 18.00 ),,11-07-2022
5,,Hailakandi,790,560,455,1805,"( Katlicherra | 0 ), ( Hailakandi | 0 ), ( Algapur | 1805 ), ( Lala | 0 )",,0.00,"( Katlicherra | 0.00 ), ( Hailakandi | 0.00 ), ( Algapur | 0.00 ), ( Lala | 0.00 )",,11-07-2022
6,,Kamrup,19,15,4,38,( Kayan | 38 ),,0.00,( Kayan | 0.00 ),,11-07-2022
7,,Morigaon,58266,55388,28058,141712,"( Mayong | 0 ), ( Morigaon | 123166 ), ( Mikirbheta | 18546 )",,2371.50,"( Mayong | 0.00 ), ( Morigaon | 600.00 ), ( Mikirbheta | 1771.50 )",,11-07-2022
8,,Nagaon,10542,8234,5749,24525,( Raha | 24525 ),,3021.56,( Raha | 3021.56 ),,11-07-2022
9,,Sivasagar,389,346,198,933,( Demow | 933 ),,11.24,( Demow | 11.24 ),,11-07-2022
10,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,0.00,( Goreswar | 0.00 ),,11-07-2022
11,,Total,145202,137124,96912,379238,,,5431.20,,,11-07-2022
