,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area (in Hect.),Crop Area Details,Date
0,,Darrang,0,0,0,0,( Sipajhar | 0 ),116.00,( Sipajhar | 116.00 ),15-10-2022
1,,Dhemaji,0,0,0,0,( Jonai | 0 ),2059.40,( Jonai | 2059.40 ),15-10-2022
2,,Dhubri,0,0,0,0,"( Chapar | 0 ), ( Bilasipara | 0 ), ( South Salmara Part | 0 )",1382.00,"( Chapar | 624.00 ), ( Bilasipara | 237.00 ), ( South Salmara Part | 521.00 )",15-10-2022
3,,Golaghat,0,0,0,0,"( Dergaon | 0 ), ( Bokakhat | 0 ), ( Khumtai | 0 )",665.09,"( Dergaon | 57.50 ), ( Bokakhat | 587.00 ), ( Khumtai | 20.59 )",15-10-2022
4,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",367.37,"( Majuli | 245.80 ), ( Ujani Majuli | 121.57 )",15-10-2022
5,,Morigaon,0,0,0,0,( Mayong | 0 ) ,733.00,( Mayong | 733.00 ),15-10-2022
6,,Nagaon,0,0,0,0,"( Dhing | 0 ), ( Nagaon | 0 ), ( Rupahi | 0 )",727.00,"( Dhing | 462.00 ), ( Nagaon | 173.00 ), ( Rupahi | 92.00 )",15-10-2022
7,,South Salmara,0,0,0,0,( South Salmara | 0 ),436.00,( South Salmara | 436.00 ),15-10-2022
8,,Total,0,0,0,0,,6485.86,,15-10-2022
