,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Barpeta,0,0,0,0,"( Barpeta | 0 ), ( Sarthebari | 0 ), ( Kalgachia | 0 ), ( Chenga | 0 ), ( Baghbar | 0 )",8015.77,"( Barpeta | 1289.00 ), ( Sarthebari | 3717.10 ), ( Kalgachia | 1457.00 ), ( Chenga | 1153.00 ), ( Baghbar | 399.67 )",,,20-05-2022
1,,Biswanath,2597,2198,1952,6747,"( Naduar RC part | 1450 ), ( Biswanath | 480 ), ( Gohpur | 1709 ), ( Halem | 3108 )",563.00,"( Naduar RC part | 208.00 ), ( Biswanath | 0.00 ), ( Gohpur | 238.00 ), ( Halem | 117.00 )",,,20-05-2022
2,,Bongaigaon,0,0,0,0,"( Manikpur | 0 ), ( Srijangram | 0 ), ( Boitamari | 0 )",1145.00,"( Manikpur | 188.00 ), ( Srijangram | 319.00 ), ( Boitamari | 638.00 )",,,20-05-2022
3,,Cachar,62770,57154,46702,166626,"( Katigorah | 110575 ), ( Silchar | 32500 ), ( Udharbond | 1755 ), ( Sonai | 12800 ), ( Lakhipur | 8996 )",6890.50,"( Katigorah | 3052.00 ), ( Silchar | 1385.00 ), ( Udharbond | 275.00 ), ( Sonai | 1838.30 ), ( Lakhipur | 340.20 )",,,20-05-2022
4,,Charaideo,0,0,0,0,( Mahmora | 0 ),1.60,( Mahmora | 1.60 ),,,20-05-2022
5,,Darrang,22175,18799,11735,52709,"( Mangaldoi | 29790 ), ( Dalgaon | 1985 ), ( Patharighat | 20809 ), ( Sipajhar | 125 )",10707.90,"( Mangaldoi | 2494.50 ), ( Dalgaon | 7441.50 ), ( Patharighat | 385.40 ), ( Sipajhar | 386.50 )",,,20-05-2022
6,,Dhemaji,315,260,69,644,"( Jonai | 0 ), ( Dhemaji | 644 )",339.20,"( Jonai | 327.20 ), ( Dhemaji | 12.00 )",,,20-05-2022
7,,Dhubri,0,0,0,0,"( Dhubri | 0 ), ( Gauripur | 0 ), ( Golakganj | 0 ), ( Bilasipara | 0 ), ( Athani | 0 ), ( Chapar | 0 )",5974.33,"( Dhubri | 1061.00 ), ( Gauripur | 937.50 ), ( Golakganj | 151.00 ), ( Bilasipara | 1647.70 ), ( Athani | 1726.13 ), ( Chapar | 451.00 )",,,20-05-2022
8,,Dibrugarh,1949,1490,1148,4587,( Chabua | 4587 ),3.50,( Chabua | 3.50 ),,,20-05-2022
9,,Dima-Hasao,140,125,70,335,( Haflong | 335 ),115.00,( Haflong | 115.00 ),,,20-05-2022
10,,Goalpara,0,0,0,0,"( Lakhipur | 0 ), ( Balijana | 0 ), ( Matia | 0 ), ( Rongjuli | 0 )",9525.50,"( Lakhipur | 6750.00 ), ( Balijana | 722.50 ), ( Matia | 1750.00 ), ( Rongjuli | 303.00 )",,,20-05-2022
11,,Golaghat,0,0,0,0,"( Sarupathar | 0 ), ( Khumtai | 0 )",38.14,"( Sarupathar | 12.14 ), ( Khumtai | 26.00 )",,,20-05-2022
12,,Hojai,62736,38270,10015,111021,"( Lanka | 1919 ), ( Hojai | 55943 ), ( Doboka | 53159 )",5213.00,"( Lanka | 650.00 ), ( Hojai | 3332.00 ), ( Doboka | 1231.00 )",,,20-05-2022
13,,Jorhat,0,0,0,0,( Jorhat West | 0 ),130.00,( Jorhat West | 130.00 ),,,20-05-2022
14,,Kamrup,11,10,5,26,"( Chamaria | 0 ), ( Chaygaon | 0 ), ( Nagarbera | 0 ), ( Hajo | 0 ), ( Rangia | 26 ), ( Boko | 0 ), ( Kayan | 0 ), ( Kamalpur | 0 ), ( Goroimari | 0 )",4099.55,"( Chamaria | 1829.50 ), ( Chaygaon | 82.00 ), ( Nagarbera | 99.50 ), ( Hajo | 1146.05 ), ( Rangia | 277.00 ), ( Boko | 56.00 ), ( Kayan | 80.00 ), ( Kamalpur | 44.00 ), ( Goroimari | 485.50 )",,,20-05-2022
15,,Kamrup (M),0,0,0,0,( Chandrapur | 0 ),778.00,( Chandrapur | 778.00 ),,,20-05-2022
16,,Karbi Anglong West,344,348,388,1080,( Donkamokam | 1080 ),0.00,( Donkamokam | 0.00 ),,,20-05-2022
17,,Karimganj,5673,4434,4055,14162,"( Karimganj | 10996 ), ( Badarpur | 3166 )",6.90,"( Karimganj | 0.00 ), ( Badarpur | 6.90 )",,,20-05-2022
18,,Kokrajhar,0,0,0,0,"( Bagribari | 0 ), ( Bhawraguri | 0 )",278.55,"( Bagribari | 241.90 ), ( Bhawraguri | 36.65 )",,,20-05-2022
19,,Lakhimpur,1000,658,207,1865,"( Subansiri | 40 ), ( North Lakhimpur | 1825 ), ( Narayanpur | 0 ), ( Bihpuria | 0 )",906.40,"( Subansiri | 20.00 ), ( North Lakhimpur | 3.00 ), ( Narayanpur | 628.40 ), ( Bihpuria | 255.00 )",,,20-05-2022
20,,Majuli,0,0,0,0,"( Ujani Majuli | 0 ), ( Majuli | 0 )",219.43,"( Ujani Majuli | 38.25 ), ( Majuli | 181.18 )",,,20-05-2022
21,,Morigaon,1341,1229,615,3185,"( Mayong | 0 ), ( Morigaon | 3185 )",8060.51,"( Mayong | 5853.50 ), ( Morigaon | 2207.01 )",,,20-05-2022
22,,Nagaon,144924,131385,60109,336418,"( Nagaon | 17385 ), ( Kampur | 237158 ), ( Raha | 81875 )",12443.42,"( Nagaon | 1676.00 ), ( Kampur | 5600.00 ), ( Raha | 5167.42 )",,,20-05-2022
