,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,172115,135100,31300,338515,"( Sarupeta | 178515 ), ( Bajali | 160000 )",490.00,"( Sarupeta | 490.00 ), ( Bajali | 0.00 )",,,20-06-2022
1,,Baksa,14650,12884,6216,33750,"( Barnagar RC part | 19682 ), ( Baska | 82 ), ( Baganpara | 1233 ), ( Barama | 252 ), ( Jalah | 12501 )",668.33,"( Barnagar RC part | 410.00 ), ( Baska | 21.33 ), ( Baganpara | 12.00 ), ( Barama | 5.00 ), ( Jalah | 220.00 )",,,20-06-2022
2,,Barpeta,499536,470049,261136,1230721,"( Baghbar | 370497 ), ( Barpeta | 158760 ), ( Sarthebari | 335837 ), ( Barnagar | 12452 ), ( Kalgachia | 198692 ), ( Chenga | 154483 )",28102.50,"( Baghbar | 18983.00 ), ( Barpeta | 875.00 ), ( Sarthebari | 2289.00 ), ( Barnagar | 1439.00 ), ( Kalgachia | 1823.50 ), ( Chenga | 2693.00 )",,,20-06-2022
3,,Biswanath,6366,5370,4816,16552,"( Gohpur | 668 ), ( Naduar RC part | 0 ), ( Biswanath | 138 ), ( Halem | 15746 )",775.50,"( Gohpur | 212.00 ), ( Naduar RC part | 22.50 ), ( Biswanath | 0.00 ), ( Halem | 541.00 )",,,20-06-2022
4,,Bongaigaon,50545,46076,49810,146431,"( Boitamari | 12843 ), ( Srijangram | 130808 ), ( Manikpur | 2780 )",2671.00,"( Boitamari | 0.00 ), ( Srijangram | 2445.00 ), ( Manikpur | 226.00 )",,,20-06-2022
5,,Cachar,80518,74620,52005,207143,"( Silchar | 42782 ), ( Sonai | 61300 ), ( Udharbond | 2724 ), ( Katigorah | 87119 ), ( Lakhipur | 13218 )",15.00,"( Silchar | 0.00 ), ( Sonai | 15.00 ), ( Udharbond | 0.00 ), ( Katigorah | 0.00 ), ( Lakhipur | 0.00 )",,,20-06-2022
6,,Chirang,3417,2697,2099,8213,"( Bijni | 6129 ), ( Sidli | 0 ), ( Bengtal | 2084 )",2444.90,"( Bijni | 2444.90 ), ( Sidli | 0.00 ), ( Bengtal | 0.00 )",,,20-06-2022
7,,Darrang,199377,168619,101245,469241,"( Mangaldoi | 125007 ), ( Patharighat | 77096 ), ( Dalgaon | 185900 ), ( Sipajhar | 81238 )",9347.50,"( Mangaldoi | 2328.00 ), ( Patharighat | 2000.00 ), ( Dalgaon | 3795.50 ), ( Sipajhar | 1224.00 )",,,20-06-2022
8,,Dhemaji,14100,12058,8478,34636,"( Sissiborgaon | 12196 ), ( Jonai | 18295 ), ( Gogamukh | 1358 ), ( Dhemaji | 2787 )",9709.50,"( Sissiborgaon | 885.00 ), ( Jonai | 8794.50 ), ( Gogamukh | 0.00 ), ( Dhemaji | 30.00 )",,,20-06-2022
9,,Dhubri,115788,93930,81481,291199,"( Agamoni | 430 ), ( Chapar | 690 ), ( South Salmara Part | 265395 ), ( Athani | 1758 ), ( Dhubri | 40 ), ( Gauripur | 0 ), ( Golakganj | 1179 ), ( Bilasipara | 21707 )",7617.33,"( Agamoni | 0.00 ), ( Chapar | 1018.20 ), ( South Salmara Part | 2394.00 ), ( Athani | 2289.03 ), ( Dhubri | 660.50 ), ( Gauripur | 596.60 ), ( Golakganj | 659.00 ), ( Bilasipara | 0.00 )",,,20-06-2022
