,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,1328,1168,319,2815,"( Sarupeta | 53 ), ( Bajali | 2762 )",9.00,"( Sarupeta | 9.00 ), ( Bajali | 0.00 )",,,26-06-2022
1,,Baksa,5425,3941,3154,12520,"( Baska | 0 ), ( Barnagar RC part | 12520 )",410.00,"( Baska | 0.00 ), ( Barnagar RC part | 410.00 )",,,26-06-2022
2,,Barpeta,273717,267601,154299,695617,"( Barpeta | 83722 ), ( Barnagar | 8011 ), ( Kalgachia | 23102 ), ( Baghbar | 205912 ), ( Sarthebari | 250640 ), ( Chenga | 124230 )",26451.50,"( Barpeta | 670.00 ), ( Barnagar | 349.00 ), ( Kalgachia | 1676.50 ), ( Baghbar | 18983.00 ), ( Sarthebari | 2080.00 ), ( Chenga | 2693.00 )",,,26-06-2022
3,,Biswanath,0,0,0,0,( Halem | 0 ),39.00,( Halem | 39.00 ),,,26-06-2022
4,,Cachar,107534,97036,72588,277158,"( Silchar | 96972 ), ( Sonai | 68500 ), ( Katigorah | 96131 ), ( Udharbond | 3500 ), ( Lakhipur | 12055 )",0.00,"( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Katigorah | 0.00 ), ( Udharbond | 0.00 ), ( Lakhipur | 0.00 )",,,26-06-2022
5,,Chirang,182,234,127,543,( Bijni | 543 ),0.00,( Bijni | 0.00 ),,,26-06-2022
6,,Darrang,39364,36749,17315,93428,"( Dalgaon | 0 ), ( Mangaldoi | 24739 ), ( Patharighat | 10344 ), ( Sipajhar | 58345 )",5499.85,"( Dalgaon | 467.85 ), ( Mangaldoi | 3418.00 ), ( Patharighat | -1.00 ), ( Sipajhar | 1615.00 )",,,26-06-2022
7,,Dhemaji,7411,5247,2821,15479,"( Jonai | 0 ), ( Sissiborgaon | 8737 ), ( Gogamukh | 6453 ), ( Dhemaji | 289 )",2655.40,"( Jonai | 1836.40 ), ( Sissiborgaon | 750.00 ), ( Gogamukh | 60.00 ), ( Dhemaji | 9.00 )",,,26-06-2022
8,,Dhubri,5421,4534,4023,13978,"( Gauripur | 0 ), ( Dhubri | 0 ), ( South Salmara Part | 13978 ), ( Bilasipara | 0 ), ( Athani | 0 )",0.00,"( Gauripur | 0.00 ), ( Dhubri | 0.00 ), ( South Salmara Part | 0.00 ), ( Bilasipara | 0.00 ), ( Athani | 0.00 )",,,26-06-2022
9,,Dibrugarh,173,107,100,380,( Dibrugarh East | 380 ),0.00,( Dibrugarh East | 0.00 ),,,26-06-2022
