,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,525,350,108,983,"( Sissiborgaon | 983 ), ( Jonai | 0 )",170.00,"( Sissiborgaon | 150.00 ), ( Jonai | 20.00 )",24-09-2022
1,,Total,525,350,108,983,,170.00,,24-09-2022
