,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,17287,14648,2587,34522,"( Sarupeta | 33130 ), ( Bajali | 1392 )",671.00,"( Sarupeta | 671.00 ), ( Bajali | 0.00 )",,,30-06-2022
1,,Barpeta,167055,141666,91781,400502,"( Sarthebari | 200640 ), ( Barpeta | 32194 ), ( Baghbar | 98974 ), ( Chenga | 49472 ), ( Kalgachia | 19222 )",16418.00,"( Sarthebari | 614.00 ), ( Barpeta | 650.00 ), ( Baghbar | 10183.00 ), ( Chenga | 3348.00 ), ( Kalgachia | 1623.00 )",,,30-06-2022
2,,Biswanath,20134,19337,13057,52528,"( Gohpur | 11134 ), ( Halem | 41310 ), ( Biswanath | 84 )",2030.00,"( Gohpur | 712.00 ), ( Halem | 1310.00 ), ( Biswanath | 8.00 )",,,30-06-2022
3,,Cachar,558060,503664,369928,1431652,"( Udharbond | 57723 ), ( Silchar | 725306 ), ( Katigorah | 230435 ), ( Sonai | 284513 ), ( Lakhipur | 133675 )",9870.26,"( Udharbond | 1049.26 ), ( Silchar | 1922.00 ), ( Katigorah | 1959.00 ), ( Sonai | 2915.00 ), ( Lakhipur | 2025.00 )",,,30-06-2022
4,,Chirang,302,346,215,863,"( Bengtal | 237 ), ( Bijni | 626 )",0.00,"( Bengtal | 0.00 ), ( Bijni | 0.00 )",,,30-06-2022
5,,Darrang,23398,21447,9205,54050,"( Dalgaon | 0 ), ( Patharighat | 4100 ), ( Mangaldoi | 22577 ), ( Sipajhar | 27373 )",6510.00,"( Dalgaon | 0.00 ), ( Patharighat | 1500.00 ), ( Mangaldoi | 3418.00 ), ( Sipajhar | 1592.00 )",,,30-06-2022
6,,Dhemaji,39170,33544,25019,97733,"( Sissiborgaon | 19178 ), ( Gogamukh | 16713 ), ( Jonai | 58808 ), ( Dhemaji | 3034 )",8053.80,"( Sissiborgaon | 1512.00 ), ( Gogamukh | 71.00 ), ( Jonai | 6440.80 ), ( Dhemaji | 30.00 )",,,30-06-2022
7,,Dibrugarh,6555,5318,3368,15241,"( Chabua | 8037 ), ( Tingkhong | 270 ), ( Moran | 2047 ), ( Tengakhat | 1919 ), ( Dibrugarh East | 2493 ), ( Naharkatia | 475 )",77.83,"( Chabua | 7.60 ), ( Tingkhong | 4.20 ), ( Moran | 30.00 ), ( Tengakhat | 22.00 ), ( Dibrugarh East | 0.00 ), ( Naharkatia | 14.03 )",,,30-06-2022
8,,Goalpara,3107,2573,1616,7296,"( Lakhipur | 2413 ), ( Balijana | 4883 )",39.00,"( Lakhipur | 0.00 ), ( Balijana | 39.00 )",,,30-06-2022
9,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",75.70,"( Bokakhat | 62.70 ), ( Khumtai | 13.00 )",,,30-06-2022
10,,Hailakand,32,21,25,78,"( Algapur | 0 ), ( Lala | 0",0.00,"( Algapur | 0.00 ), (",,,30-06-2022
11,,i,,,,,"), ( Katlicherra | 0 ), ( Hailakandi | 78 )",,,"Lala | 0.00 ), ( Katlicherra | 0.00 ), ( Hailakandi | 0.00 )",,30-06-2022
12,,Hojai,601,331,190,1122,"( Hojai | 859 ), ( Lanka | 263 )",,186.00,"( Hojai | 28.00 ), ( Lanka | 158.00 )",,30-06-2022
13,,Kamrup,20688,17071,4807,42566,"( Nagarbera | 0 ), ( Chamaria | 0 ), ( Hajo | 23196 ), ( Kayan | 48 ), ( North Ghy | 19322 )",,649.20,"( Nagarbera | 183.00 ), ( Chamaria | 52.20 ), ( Hajo | 356.00 ), ( Kayan | 37.00 ), ( North Ghy | 21.00 )",,30-06-2022
14,,Kamrup (M),560,489,0,1049,"( Chandrapur | 0 ), ( Sonapur | 1049 )",,726.50,"( Chandrapur | 0.00 ), ( Sonapur | 726.50 )",,30-06-2022
15,,Karimganj,39113,23098,12232,74443,"( Nilambazar | 15933 ), ( RK Nagar | 20458 ), ( Badarpur | 20150 ), ( Karimganj | 17902 )",,0.00,"( Nilambazar | 0.00 ), ( RK Nagar | 0.00 ), ( Badarpur | 0.00 ), ( Karimganj | 0.00 )",,30-06-2022
16,,Lakhimpur,39018,34153,20925,94096,"( Subansiri | 19672 ), ( North Lakhimpur | 10070 ), ( Nowboicha | 9231 ), ( Narayanpur | 34522 ), ( Dhakuakhana | 773 ), ( Bihpuria | 19828 ), ( Kadam | 0 )",,1948.10,"( Subansiri | 884.90 ), ( North Lakhimpur | 0.00 ), ( Nowboicha | 2.30 ), ( Narayanpur | 704.00 ), ( Dhakuakhana | 239.00 ), ( Bihpuria | 76.15 ), ( Kadam | 41.75 )",,30-06-2022
17,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,108.30,"( Majuli | 90.61 ), ( Ujani Majuli | 17.69 )",,30-06-2022
18,,Morigaon,49961,46097,27311,123369,"( Mikirbheta | 16652 ), ( Bhuragaon | 0 ), ( Morigaon | 103868 ), ( Mayong | 2849 )",,9376.50,"( Mikirbheta | 826.50 ), ( Bhuragaon | 782.00 ), ( Morigaon | 3400.00 ), ( Mayong | 4368.00 )",,30-06-2022
19,,Nagaon,184921,173435,161107,519463,"( Nagaon | 103200 ), ( Kaliabor | 89 ), ( Samaguri | 0 ), ( Raha | 158174 ), ( Kampur | 258000 )",,18666.70,"( Nagaon | 404.00 ), ( Kaliabor | 9.00 ), ( Samaguri | 4.00 ), ( Raha | 9999.70 ), ( Kampur | 8250.00 )",,30-06-2022
20,,Nalbari,1044,957,379,2380,"( Paschim Nalbari | 2145 ), ( Barbhag | 235 )",,139.00,"( Paschim Nalbari | 0.00 ), ( Barbhag | 139.00 )",,30-06-2022
21,,Sonitpur,95,100,70,265,( Dhekiajuli | 265 ),,221.00,( Dhekiajuli | 221.00 ),,30-06-2022
22,,Tamulpur,956,890,354,2200,( Goreswar | 2200 ),,0.00,( Goreswar | 0.00 ),,30-06-2022
23,,Tinsukia,10097,8714,5993,24804,"( Sadiya | 6605 ), ( Doomdooma | 14676 ), ( Tinsukia | 3523 )",,348.66,"( Sadiya | 16.00 ), ( Doomdooma | 269.16 ), ( Tinsukia | 63.50 )",,30-06-2022
24,,Udalguri,145,86,40,271,"( Udalguri | 271 ), ( Harisinga | 0 ), ( Kalaigaon | 0 )",,0.00,"( Udalguri | 0.00 ), ( Harisinga | 0.00 ), ( Kalaigaon | 0.00 )",,30-06-2022
25,,Total,1182299,1047985,750209,2980493,,,76115.55,,,30-06-2022
