,population and crop area affected,District,Male,Female,Children,Total Population,,Population Details,,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Cachar,41114,37401,20545,99060,,"( Katigorah | 67071 ), ( Lakhipur | 8389 ), ( Sonai | 4815 ), ( Silchar | 16368 ), ( Udharbond | 2417 )",,0.00,"( Katigorah | 0.00 ), ( Lakhipur | 0.00 ), ( Sonai | 0.00 ), ( Silchar | 0.00 ), ( Udharbond | 0.00 )",28-05-2022
1,,Dima-Hasao,560,558,893,2011,,( Haflong | 2011 ),,247.29,( Haflong | 247.29 ),28-05-2022
2,,Goalpara,0,0,0,0,,"( Balijana | 0 ), ( Lakhipur | 0 ), ( Dudhnoi | 0 ), ( Rongjuli | 0 ), ( Matia | 0 )",,1589.00,"( Balijana | 798.00 ), ( Lakhipur | 496.00 ), ( Dudhnoi | 50.00 ), ( Rongjuli | 147.00 ), ( Matia | 98.00 )",28-05-2022
3,,Kamrup,0,0,0,0,,"( Kamalpur | 0 ), ( Hajo ",,258.10,"( Kamalpur | 9.10 ), ( ",28-05-2022
4,,Kamrup (M),0,0,0,0,( Sonapur | 0 ),,183.00,( Sonapur | 183.00 ),,28-05-2022
5,,Morigaon,15989,15566,9288,40843,"( Mayong | 0 ), ( Morigaon | 40843 )",,11105.33,"( Mayong | 6860.00 ), ( Morigaon | 4245.33 )",,28-05-2022
6,,Nagaon,118425,105023,83774,307222,"( Nagaon | 53185 ), ( Kampur | 138598 ), ( Raha | 115439 )",,15777.64,"( Nagaon | 4244.50 ), ( Kampur | 4600.00 ), ( Raha | 6933.14 )",,28-05-2022
7,,Total,176088,158548,114500,449136,,,29160.36,,,28-05-2022
