,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,130,185,67,382,( Sarupeta | 382 ),,0.00,( Sarupeta | 0.00 ),,03-08-2022
1,,Chirang,92,81,50,223,( Bijni | 223 ),,0.00,( Bijni | 0.00 ),,03-08-2022
2,,Darrang,0,0,0,0,"( Mangaldoi | 0 ), ( Sipajhar | 0 )",,574.00,"( Mangaldoi | 256.00 ), ( Sipajhar | 318.00 )",,03-08-2022
3,,Dhemaji,8464,8470,3756,20690,"( Gogamukh | 20038 ), ( Dhemaji | 652 )",,3896.00,"( Gogamukh | 3871.00 ), ( Dhemaji | 25.00 )",,03-08-2022
4,,Dhubri,0,0,0,0,( Agamoni | 0 ),,35.50,( Agamoni | 35.50 ),,03-08-2022
5,,Jorhat,0,0,0,0,( Titabor | 0 ),,10.00,( Titabor | 10.00 ),,03-08-2022
6,,Kamrup,0,0,0,0,( Palashbari | 0 ),,435.00,( Palashbari | 435.00 ),,03-08-2022
7,,Tamulpur,204,160,61,425,( Goreswar | 425 ),,0.00,( Goreswar | 0.00 ),,03-08-2022
8,,Udalguri,709,555,174,1438,"( Udalguri | 0 ), ( Khairabari | 1057 ), ( Harisinga | 381 )",,54.00,"( Udalguri | 0.00 ), ( Khairabari | 0.00 ), ( Harisinga | 54.00 )",,03-08-2022
9,,Total,9599,9451,4108,23158,,,5004.50,nan,,03-08-2022
