,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,107420,100630,22530,230580,"( Sarupeta | 69580 ), ( Bajali | 161000 )",1177.00,"( Sarupeta | 365.00 ), ( Bajali | 812.00 )",,,23-06-2022
1,,Baksa,8624,6308,5547,20479,"( Baska | 0 ), ( Barama | 0 ), ( Barnagar RC part | 20479 )",410.00,"( Baska | 0.00 ), ( Barama | 0.00 ), ( Barnagar RC part | 410.00 )",,,23-06-2022
2,,Barpeta,426119,379857,226585,1032561,"( Barpeta | 145377 ), ( Baghbar | 299349 ), ( Chenga | 150025 ), ( Barnagar | 13792 ), ( Sarthebari | 250640 ), ( Kalgachia | 173378 )",27240.00,"( Barpeta | 880.00 ), ( Baghbar | 18983.00 ), ( Chenga | 2693.00 ), ( Barnagar | 780.50 ), ( Sarthebari | 2080.00 ), ( Kalgachia | 1823.50 )",,,23-06-2022
3,,Biswanath,0,0,0,0,"( Halem | 0 ), ( Gohpur | 0 )",93.00,"( Halem | 93.00 ), ( Gohpur | 0.00 )",,,23-06-2022
4,,Bongaigaon,8990,7554,9759,26303,"( Boitamari | 22385 ), ( Manikpur | 0 ), ( Srijangram | 3918 )",0.00,"( Boitamari | 0.00 ), ( Manikpur | 0.00 ), ( Srijangram | 0.00 )",,,23-06-2022
5,,Cachar,105752,95992,70769,272513,"( Katigorah | 89156 ), ( Silchar | 89156 ), ( Sonai | 68100 ), ( Lakhipur | 20361 ), ( Udharbond | 5740 )",0.00,"( Katigorah | 0.00 ), ( Silchar | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 ), ( Udharbond | 0.00 )",,,23-06-2022
6,,Chirang,293,351,174,818,"( Bijni | 561 ), ( Bengtal | 257 )",0.00,"( Bijni | 0.00 ), ( Bengtal | 0.00 )",,,23-06-2022
7,,Darrang,146677,121658,45169,313504,"( Mangaldoi | 112301 ), ( Sipajhar | 138210 ), ( Dalgaon | 2725 ), ( Patharighat | 60268 )",9248.50,"( Mangaldoi | 2838.00 ), ( Sipajhar | 1615.00 ), ( Dalgaon | 3795.50 ), ( Patharighat | 1000.00 )",,,23-06-2022
8,,Dhemaji,9621,7758,6681,24060,"( Jonai | 15459 ), ( Sissiborgaon | 6339 ), ( Dhemaji | 2262 )",4828.06,"( Jonai | 4021.50 ), ( Sissiborgaon | 787.56 ), ( Dhemaji | 19.00 )",,,23-06-2022
9,,Dhubri,151989,134764,113192,399945,"( Bilasipara | 77203 ), ( Dhubri | 40824 ), ( South Salmara Part | 265395 ), ( Athani | 15333 ), ( Golakganj | 0 ), ( Gauripur | 0 ), ( Agamoni | 1190 ), ( Chapar | 0 )",5281.10,"( Bilasipara | 0.00 ), ( Dhubri | 711.00 ), ( South Salmara Part | 3769.00 ), ( Athani | 0.00 ), ( Golakganj | 106.00 ), ( Gauripur | 695.10 ), ( Agamoni | 0.00 ), ( Chapar | 0.00 )",,,23-06-2022
10,,Dibrugarh,1567,1240,1050,3857,"( Chabua | 3857 ), ( Dibrugarh West | 0 )",2.50,"( Chabua | 2.50 ), ( Dibrugarh West | 0.00 )",,,23-06-2022
