,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Barpeta,0,0,0,0,"( Kalgachia | 0 ), ( Chenga | 0 )",,63.00,"( Kalgachia | 14.00 ), ( Chenga | 49.00 )",,25-05-2022
1,,Cachar,66157,60420,36911,163488,"( Katigorah | 80814 ), ( Silchar | 30923 ), ( Lakhipur | 25544 ), ( Sonai | 20105 ), ( Udharbond | 6102 )",,4941.00,"( Katigorah | 2151.00 ), ( Silchar | 1268.00 ), ( Lakhipur | 223.00 ), ( Sonai | 1153.00 ), ( Udharbond | 146.00 )",,25-05-2022
2,,Darrang,198,176,60,434,( Patharighat | 434 ),,79.50,( Patharighat | 79.50 ),,25-05-2022
3,,Dima-Hasao,183,198,111,492,( Haflong | 492 ),,2.45,( Haflong | 2.45 ),,25-05-2022
4,,Goalpara,0,0,0,0,"( Lakhipur | 0 ), ( Balijana | 0 ), ( Rongjuli | 0 ), ( Matia | 0 ), ( Dudhnoi | 0 )",,10324.00,"( Lakhipur | 5974.00 ), ( Balijana | 1923.00 ), ( Rongjuli | 463.00 ), ( Matia | 1878.00 ), ( Dudhnoi | 86.00 )",,25-05-2022
5,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",,22.00,"( Bokakhat | 5.00 ), ( Khumtai | 17.00 )",,25-05-2022
6,,Hojai,422,296,238,956,"( Hojai | 335 ), ( Lanka | 621 )",,250.00,"( Hojai | 29.00 ), ( Lanka | 221.00 )",,25-05-2022
7,,Kamrup,130,46,40,216,"( Chamaria | 0 ), ( Hajo | 0 ), ( Rangia | 0 ), ( Kamalpur | 216 ), ( Boko | 0 )",,2837.82,"( Chamaria | 1600.00 ), ( Hajo | 1111.72 ), ( Rangia | 16.00 ), ( Kamalpur | 52.10 ), ( Boko | 58.00 )",,25-05-2022
8,,Kamrup (M),0,0,0,0,"( Dispur | 0 ), ( Chandrapur | 0 ), ( Sonapur | 0 )",,1111.00,"( Dispur | 0.00 ), ( Chandrapur | 948.00 ), ( Sonapur | 163.00 )",,25-05-2022
9,,Karbi Anglong West,900,1092,1139,3131,( Donkamokam | 3131 ),,0.00,( Donkamokam | 0.00 ),,25-05-2022
10,,Karimganj,562,537,126,1225,"( Badarpur | 35 ), ( Karimganj | 1190 )",,0.00,"( Badarpur | 0.00 ), ( Karimganj | 0.00 )",,25-05-2022
11,,Morigaon,16102,15613,9321,41036,"( Morigaon | 41036 ), ( Mayong | 0 )",,14569.83,"( Morigaon | 4317.83 ), ( Mayong | 10252.00 )",,25-05-2022
12,,Nagaon,155028,142096,67368,364492,"( Kampur | 222379 ), ( Nagaon | 30370 ), ( Raha | 111743 )",,17449.92,"( Kampur | 7100.00 ), ( Nagaon | 4020.50 ), ( Raha | 6329.42 )",,25-05-2022
13,,Sonitpur,0,0,0,0,( Dhekiajuli | 0 ),,21.00,( Dhekiajuli | 21.00 ),,25-05-2022
14,,Total,239682,220474,115314,575470,,,51671.52,,,25-05-2022
