,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,979,803,721,2503,( Sissiborgaon | 2503 ),307.00,( Sissiborgaon | 307.00 ),04-09-2022
1,,Total,979,803,721,2503,,307.00,,04-09-2022
