,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Barpeta,0,0,0,0,"( Barpeta | 0 ), ( Sarthebari | 0 ), ( Kalgachia | 0 ), ( Chenga | 0 ), ( Baghbar | 0 )",11389.96,"( Barpeta | 4620.00 ), ( Sarthebari | 4449.00 ), ( Kalgachia | 814.00 ), ( Chenga | 772.00 ), ( Baghbar | 734.96 )",,,23-05-2022
1,,Cachar,80801,71066,46261,198128,"( Katigorah | 91228 ), ( Udharbond | 7503 ), ( Sonai | 33963 ), ( Lakhipur | 33526 ), ( Silchar | 31908 )",4616.00,"( Katigorah | 3125.00 ), ( Udharbond | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 223.00 ), ( Silchar | 1268.00 )",,,23-05-2022
2,,Darrang,3083,2531,2149,7763,"( Patharighat | 787 ), ( Mangaldoi | 6976 ), ( Dalgaon | 0 )",10223.00,"( Patharighat | 285.50 ), ( Mangaldoi | 2496.00 ), ( Dalgaon | 7441.50 )",,,23-05-2022
3,,Dhubri,0,0,0,0,"( Bilasipara | 0 ), ( Athani | 0 )",2167.69,"( Bilasipara | 0.00 ), ( Athani | 2167.69 )",,,23-05-2022
4,,Dima-Hasao,424,267,188,879,( Haflong | 879 ),99.00,( Haflong | 99.00 ),,,23-05-2022
5,,Goalpara,0,0,0,0,"( Balijana | 0 ), ( Lakhipur | 0 ), ( Matia | 0 ), ( Rongjuli | 0 )",16012.00,"( Balijana | 2570.00 ), ( Lakhipur | 10060.00 ), ( Matia | 2522.00 ), ( Rongjuli | 860.00 )",,,23-05-2022
6,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",32.00,"( Bokakhat | 15.00 ), ( Khumtai | 17.00 )",,,23-05-2022
7,,Hojai,24021,17099,3394,44514,"( Lanka | 621 ), ( Doboka | 42909 ), ( Hojai | 984 )",1595.00,"( Lanka | 221.00 ), ( Doboka | 1238.00 ), ( Hojai | 136.00 )",,,23-05-2022
8,,Jorhat,0,0,0,0,"( Jorhat West | 0 ), ( Jorhat East | 0 )",164.50,"( Jorhat West | 136.00 ), ( Jorhat East | 28.50 )",,,23-05-2022
9,,Kamrup,180,46,40,266,"( Nagarbera | 0 ), ( Chaygaon | 0 ), ( Chamaria | 0 ), ( Kayan | 0 ), ( Palashbari | 0 ), ( Rangia | 0 ), ( Boko | 0 ), ( Hajo | 50 ), ( Kamalpur | 216 ), ( North Ghy | 0 ) ",4994.02,"( Nagarbera | 1583.00 ), ( Chaygaon | 52.00 ), ( Chamaria | 1829.50 ), ( Kayan | 60.10 ), ( Palashbari | 10.00 ), ( Rangia | 10.00 ), ( Boko | 69.00 ), ( Hajo | 1334.29 ), ( Kamalpur | 44.00 ), ( North Ghy | ",,,23-05-2022
10,,Kamrup (M),301,226,0,527,"( Chandrapur | 0 ), ( Sonapur | 527 )",,1170.50,"( Chandrapur | 889.00 ), ( Sonapur | 281.50 )",,23-05-2022
11,,Karbi Anglong West,180,193,166,539,( Donkamokam | 539 ),,0.00,( Donkamokam | 0.00 ),,23-05-2022
12,,Karimganj,2429,1986,1267,5682,"( Karimganj | 4484 ), ( Badarpur | 1198 )",,0.00,"( Karimganj | 0.00 ), ( Badarpur | 0.00 )",,23-05-2022
13,,Lakhimpur,0,0,0,0,"( Narayanpur | 0 ), ( Bihpuria | 0 )",,448.00,"( Narayanpur | 0.00 ), ( Bihpuria | 448.00 )",,23-05-2022
14,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,53.76,"( Majuli | 20.31 ), ( Ujani Majuli | 33.45 )",,23-05-2022
15,,Morigaon,15807,15366,9172,40345,"( Morigaon | 40345 ), ( Mayong | 0 )",,13901.33,"( Morigaon | 3935.83 ), ( Mayong | 9965.50 )",,23-05-2022
16,,Nagaon,151428,136945,62697,351070,"( Kampur | 237158 ), ( Nagaon | 29202 ), ( Raha | 84710 )",,15324.24,"( Kampur | 5600.00 ), ( Nagaon | 3623.00 ), ( Raha | 6101.24 )",,23-05-2022
17,,Nalbari,0,0,0,0,"( Paschim Nalbari | 0 ), ( Barkhetri | 0 )",,108.00,"( Paschim Nalbari | 42.00 ), ( Barkhetri | 66.00 )",,23-05-2022
18,,Sonitpur,0,0,0,0,( Dhekiajuli | 0 ),,204.00,( Dhekiajuli | 204.00 ),,23-05-2022
19,,Udalguri,343,209,137,689,"( Kalaigaon | 0 ), ( Harisinga | 0 ), ( Udalguri | 413 ), ( Mazbat | 276 )",,0.00,"( Kalaigaon | 0.00 ), ( Harisinga | 0.00 ), ( Udalguri | 0.00 ), ( Mazbat | 0.00 )",,23-05-2022
20,,Total,278997,245934,125471,650402,,,82503.00,,,23-05-2022
