,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,1124,1045,89,2258,( Bajali | 2258 ),,0.00,( Bajali | 0.00 ),,15-06-2022
1,,Baksa,1248,1210,493,2951,"( Jalah | 745 ), ( Barama | 426 ), ( Baska | 1780 )",,113.78,"( Jalah | 60.00 ), ( Barama | 49.00 ), ( Baska | 4.78 )",,15-06-2022
2,,Bongaigaon,0,0,0,0,( Manikpur | 0 ),,877.00,( Manikpur | 877.00 ),,15-06-2022
3,,Chirang,127,108,37,272,( Bijni | 272 ),,0.00,( Bijni | 0.00 ),,15-06-2022
4,,Darrang,966,872,656,2494,"( Mangaldoi | 1214 ), ( Patharighat | 1280 )",,21.00,"( Mangaldoi | 21.00 ), ( Patharighat | 0.00 )",,15-06-2022
5,,Dhemaji,937,1018,664,2619,"( Jonai | 1070 ), ( Dhemaji | 453 ), ( Sissiborgaon | 1096 )",,268.00,"( Jonai | 127.00 ), ( Dhemaji | 4.00 ), ( Sissiborgaon | 137.00 )",,15-06-2022
6,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),,2.50,( Chabua | 2.50 ),,15-06-2022
7,,Goalpara,1123,998,493,2614,( Balijana | 2614 ),,0.00,( Balijana | 0.00 ),,15-06-2022
8,,Hojai,31,22,7,60,( Hojai | 60 ),,12.00,( Hojai | 12.00 ),,15-06-2022
9,,Kamrup,125,121,72,318,"( Rangia | 318 ), ( Kayan | 0 ), ( Kamalpur | 0 )",,67.00,"( Rangia | 27.00 ), ( Kayan | 10.00 ), ( Kamalpur | 30.00 )",,15-06-2022
10,,Kamrup (M),12130,9170,3000,24300,"( Guwahati | 12500 ), ( Dispur | 11800 )",,0.00,"( Guwahati | 0.00 ), ( Dispur | 0.00 )",,15-06-2022
11,,Kokrajhar,965,737,296,1998,"( Dotma | 1350 ), ( Bagribari | 0 ), ( Kokrajhar | 648 )",,5.00,"( Dotma | 0.00 ), ( Bagribari | 5.00 ), ( Kokrajhar | 0.00 )",,15-06-2022
12,,Lakhimpur,327,214,145,686,"( North Lakhimpur | 600 ), ( Bihpuria | 86 )",,0.00,"( North Lakhimpur | 0.00 ), ( Bihpuria | 0.00 )",,15-06-2022
13,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,79.00,"( Majuli | 55.00 ), ( Ujani Majuli | 24.00 )",,15-06-2022
14,,Nalbari,5801,4669,2592,13062,"( Nalbari | 575 ), ( Banekuchi | 3140 ), ( Tihu | 3420 ), ( Ghograpar | 5832 ), ( Paschim Nalbari | 95 )",,182.90,"( Nalbari | 140.60 ), ( Banekuchi | 8.30 ), ( Tihu | 34.00 ), ( Ghograpar | 0.00 ), ( Paschim Nalbari | 0.00 )",,15-06-2022
15,,Tamulpur,7630,6670,865,15165,"( Goreswar | 8050 ), ( Tamulpur | 7115 )",,95.00,"( Goreswar | 29.00 ), ( Tamulpur | 66.00 )",,15-06-2022
16,,Udalguri,592,478,392,1462,"( Harisinga | 0 ), ( Khairabari | 239 ), ( Kalaigaon | 1116 ), ( Udalguri | 107 )",,8.00,"( Harisinga | 0.00 ), ( Khairabari | 8.00 ), ( Kalaigaon | 0.00 ), ( Udalguri | 0.00 )",,15-06-2022
17,,Total,34693,28572,10851,74116,,,1731.18,,,15-06-2022
