,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,130,185,67,,382,( Sarupeta | 382 ),,0.00,( Sarupeta | 0.00 ),,04-08-2022
1,,Chirang,92,81,50,,223,( Bijni | 223 ),,0.00,( Bijni | 0.00 ),,04-08-2022
2,,Darrang,0,0,0,,0,( Mangaldoi | 0 ),,256.00,( Mangaldoi | 256.00 ),,04-08-2022
3,,Dhemaji,0,0,0,,0,( Dhemaji | 0 ),,10.00,( Dhemaji | 10.00 ),,04-08-2022
4,,Tamulpur,204,160,61,,425,( Goreswar | 425 ),,0.00,( Goreswar | 0.00 ),,04-08-2022
5,,Udalguri,549,471,143,,1163,"( Khairabari | 782 ), ( Harisinga | 381 )",,54.00,"( Khairabari | 0.00 ), ( Harisinga | 54.00 )",,04-08-2022
6,,Total,975,897,321,,2193,,,320.00,,,04-08-2022
