,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,95,86,84,,265,( Jonai | 265 ),443.00,( Jonai | 443.00 ),16-09-2022
1,,Total,95,86,84,,265,,443.00,,16-09-2022
