,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,347,320,372,1039,"( Dhemaji | 223 ), ( Jonai | 816 )",132.00,"( Dhemaji | 5.00 ), ( Jonai | 127.00 )",07-09-2022
1,,Nagaon,0,0,0,0,( Samaguri | 0 ),6.00,( Samaguri | 6.00 ),07-09-2022
2,,Total,347,320,372,1039,,138.00,,07-09-2022
