,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Tamulpur,204,160,61,425,( Goreswar | 425 ),0.00,( Goreswar | 0.00 ),13-08-2022
1,,Total,204,160,61,425,,0.00,,13-08-2022
