,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Charaideo,1866,1245,1206,4317,"( Sonari | 1567 ), ( Sapekhati | 2750 )",,104.00,"( Sonari | 86.00 ), ( Sapekhati | 18.00 )",,27-07-2022
1,,Morigaon,145,88,34,267,( Morigaon | 267 ),,144.00,( Morigaon | 144.00 ),,27-07-2022
2,,Tamulpur,457,345,90,892,( Goreswar | 892 ),,0.00,( Goreswar | 0.00 ),,27-07-2022
3,,Total,2468,1678,1330,5476,,,248.00,,,27-07-2022
