,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,251,219,346,,816,( Jonai | 816 ),127.00,( Jonai | 127.00 ),09-09-2022
1,,Morigaon,0,0,0,,0,( Mayong | 0 ),23.00,( Mayong | 23.00 ),09-09-2022
2,,Total,251,219,346,,816,,150.00,,09-09-2022
