,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,668,775,312,1755,"( Sarupeta | 1280 ), ( Bajali | 475 )",35.00,"( Sarupeta | 35.00 ), ( Bajali | 0.00 )",,,01-07-2022
1,,Baksa,0,0,0,0,( Jalah | 0 ),614.00,( Jalah | 614.00 ),,,01-07-2022
2,,Barpeta,121455,105910,84296,311661,"( Barpeta | 37120 ), ( Baghbar | 98000 ), ( Sarthebari | 122952 ), ( Kalgachia | 19222 ), ( Chenga | 34367 ) ",8443.50,"( Barpeta | 650.00 ), ( Baghbar | 2712.00 ), ( Sarthebari | 432.00 ), ( Kalgachia | 1301.50 ), ( Chenga | 3348.00 )",,,01-07-2022
3,,Biswanath,10148,8745,5559,24452,"( Gohpur | 6439 ), ( Halem | 18013 )",732.00,"( Gohpur | 366.00 ), ( Halem | 366.00 )",,,01-07-2022
4,,Cachar,544030,491695,369023,1404748,"( Sonai | 284513 ), ( Katigorah | 230435 ), ( Silchar | 725306 ), ( Lakhipur | 106771 ), ( Udharbond | 57723 )",9870.26,"( Sonai | 2915.00 ), ( Katigorah | 1959.00 ), ( Silchar | 1922.00 ), ( Lakhipur | 2025.00 ), ( Udharbond | 1049.26 )",,,01-07-2022
5,,Chirang,315,357,225,897,"( Bijni | 648 ), ( Bengtal | 249 )",0.00,"( Bijni | 0.00 ), ( Bengtal | 0.00 )",,,01-07-2022
6,,Darrang,17938,16329,5146,39413,"( Sipajhar | 13516 ), ( Mangaldoi | 22577 ), ( Dalgaon | 0 ), ( Patharighat | 3320 )",4918.00,"( Sipajhar | 0.00 ), ( Mangaldoi | 3418.00 ), ( Dalgaon | 0.00 ), ( Patharighat | 1500.00 )",,,01-07-2022
7,,Dhemaji,36321,31406,23862,91589,"( Gogamukh | 16713 ), ( Jonai | 62335 ), ( Sissiborgaon | 11374 ), ( Dhemaji | 1167 )",7591.40,"( Gogamukh | 0.00 ), ( Jonai | 6319.40 ), ( Sissiborgaon | 1254.00 ), ( Dhemaji | 18.00 )",,,01-07-2022
8,,Dibrugarh,8249,6717,4378,19344,"( Chabua | 8167 ), ( Tingkhong | 287 ), ( Dibrugarh East | 2111 ), ( Tengakhat | 2872 ), ( Naharkatia | 160 ), ( Moran | 3796 ), ( Dibrugarh West | 1951 )",530.09,"( Chabua | 41.00 ), ( Tingkhong | 28.13 ), ( Dibrugarh East | 0.00 ), ( Tengakhat | 57.00 ), ( Naharkatia | 262.37 ), ( Moran | 77.59 ), ( Dibrugarh West | 64.00 )",,,01-07-2022
9,,Goalpara,3107,2573,1616,7296,"( Lakhipur | 2413 ), ( Balijana | 4883 )",39.00,"( Lakhipur | 0.00 ), ( Balijana | 39.00 )",,,01-07-2022
10,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",92.00,"( Bokakhat | 70.00 ), ( Khumtai | 22.00 )",,,01-07-2022
