,population and crop area affected,District,Male,Female,Children,,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Biswanath,752,610,159,,1521,"( Gohpur | 1075 ), ( Halem | 446 )",,104.20,"( Gohpur | 96.00 ), ( Halem | 8.20 )",,18-07-2022
1,,Cachar,8857,7558,4153,,20568,"( Silchar | 13266 ), ( Katigorah | 7302 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,18-07-2022
2,,Morigaon,15112,13978,6452,,35542,( Morigaon | 35542 ),,278.00,( Morigaon | 278.00 ),,18-07-2022
3,,Tamulpur,457,345,90,,892,( Goreswar | 892 ),,0.00,( Goreswar | 0.00 ),,18-07-2022
4,,Total,25178,22491,10854,,58523,,,382.20,,,18-07-2022
