,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,4921,3581,1823,10325,"( Silchar | 6324 ), ( Katigorah | 4001 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,06-06-2022
1,,Morigaon,8520,7852,4388,20760,( Morigaon | 20760 ),,2112.00,( Morigaon | 2112.00 ),,06-06-2022
2,,Total,13441,11433,6211,31085,,,2112.00,,,06-06-2022
