,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,31,27,4,62,( Bajali | 62 ),0.00,( Bajali | 0.00 ),,,18-05-2022
1,,Baksa,2,1,0,3,( Barama | 3 ),0.00,( Barama | 0.00 ),,,18-05-2022
2,,Barpeta,0,0,0,0,"( Chenga | 0 ), ( Sarthebari | 0 ), ( Baghbar | 0 ), ( Kalgachia | 0 )",2599.30,"( Chenga | 1446.80 ), ( Sarthebari | 153.00 ), ( Baghbar | 222.00 ), ( Kalgachia | 777.50 )",,,18-05-2022
3,,Biswanath,12828,10580,3874,27282,"( Halem | 19012 ), ( Naduar RC part | 1450 ), ( Gohpur | 4036 ), ( Biswanath | 2784 )",2566.50,"( Halem | 593.00 ), ( Naduar RC part | 191.50 ), ( Gohpur | 532.00 ), ( Biswanath | 1250.00 )",,,18-05-2022
4,,Bongaigaon,0,0,0,0,"( Manikpur | 0 ), ( Bongaigaon | 0 ), ( Boitamari | 0 ), ( Srijangram | 0 )",951.00,"( Manikpur | 544.00 ), ( Bongaigaon | 197.00 ), ( Boitamari | 44.00 ), ( Srijangram | 166.00 )",,,18-05-2022
5,,Cachar,47372,39483,32815,119670,"( Sonai | 10105 ), ( Lakhipur | 6740 ), ( Udharbond | 1830 ), ( Silchar | 30000 ), ( Katigorah | 70995 )",7424.90,"( Sonai | 1449.80 ), ( Lakhipur | 106.00 ), ( Udharbond | 507.50 ), ( Silchar | 1137.50 ), ( Katigorah | 4224.10 )",,,18-05-2022
6,,Charaideo,82,57,51,190,( Sapekhati | 190 ),0.00,( Sapekhati | 0.00 ),,,18-05-2022
7,,Darrang,24975,21902,13685,60562,"( Patharighat | 24395 ), ( Mangaldoi | 30390 ), ( Dalgaon | 4977 ), ( Sipajhar | 800 )",7582.60,"( Patharighat | 366.90 ), ( Mangaldoi | 1559.00 ), ( Dalgaon | 5388.70 ), ( Sipajhar | 268.00 )",,,18-05-2022
8,,Dhemaji,153,123,53,329,"( Gogamukh | 71 ), ( Jonai | 0 ), ( Dhemaji | 258 ), ( Sissiborgaon | 0 )",387.20,"( Gogamukh | 0.00 ), ( Jonai | 303.60 ), ( Dhemaji | 5.00 ), ( Sissiborgaon | 78.60 )",,,18-05-2022
9,,Dibrugarh,1949,1490,1148,4587,( Chabua | 4587 ),3.50,( Chabua | 3.50 ),,,18-05-2022
10,,Dima-Hasao,770,990,440,2200,( Haflong | 2200 ),0.00,( Haflong | 0.00 ),,,18-05-2022
11,,Goalpara,0,0,0,0,( Rongjuli | 0 ),276.20,( Rongjuli | 276.20 ),,,18-05-2022
12,,Hailakandi,290,280,190,760,( Algapur | 760 ),154.00,( Algapur | 154.00 ),,,18-05-2022
13,,Hojai,56592,36899,13708,107199,"( Doboka | 53795 ), ( Hojai | 46569 ), ( Lanka | 6835 )",5802.00,"( Doboka | 874.00 ), ( Hojai | 4278.00 ), ( Lanka | 650.00 )",,,18-05-2022
14,,Kamrup,396,299,140,835,"( Kayan | 416 ), ( Rangia | 419 )",504.70,"( Kayan | 242.70 ), ( Rangia | 262.00 )",,,18-05-2022
