,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,205,225,45,475,( Sarupeta | 475 ),,0.00,( Sarupeta | 0.00 ),,06-07-2022
1,,Barpeta,0,0,0,0,( Kalgachia | 0 ),,181.00,( Kalgachia | 181.00 ),,06-07-2022
2,,Cachar,217109,203613,149140,569862,"( Silchar | 218238 ), ( Katigorah | 213185 ), ( Sonai | 81739 ), ( Lakhipur | 50150 ), ( Udharbond | 6550 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 ), ( Udharbond | 0.00 )",,06-07-2022
3,,Chirang,65,55,33,153,( Bijni | 153 ),,0.00,( Bijni | 0.00 ),,06-07-2022
4,,Darrang,230,245,135,610,"( Patharighat | 610 ), ( Dalgaon | 0 ), ( Mangaldoi | 0 ), ( Sipajhar | 0 )",,1200.00,"( Patharighat | 1200.00 ), ( Dalgaon | 0.00 ), ( Mangaldoi | 0.00 ), ( Sipajhar | 0.00 )",,06-07-2022
5,,Dhemaji,5071,4595,4067,13733,( Jonai | 13733 ),,440.85,( Jonai | 440.85 ),,06-07-2022
6,,Dibrugarh,1480,1080,234,2794,"( Moran | 1359 ), ( Chabua | 0 ), ( Dibrugarh East | 143 ), ( Dibrugarh West | 1292 ), ( Naharkatia | 0 )",,18.78,"( Moran | 5.93 ), ( Chabua | 0.00 ), ( Dibrugarh East | 0.00 ), ( Dibrugarh West | 0.00 ), ( Naharkatia | 12.85 )",,06-07-2022
7,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",,52.50,"( Bokakhat | 49.00 ), ( Khumtai | 3.50 )",,06-07-2022
8,,Hailakandi,4540,3325,1760,9625,"( Algapur | 9625 ), ( Lala | 0 ), ( Katlicherra | 0 ), ( Hailakandi | 0 )",,0.00,"( Algapur | 0.00 ), ( Lala | 0.00 ), ( Katlicherra | 0.00 ), ( Hailakandi | 0.00 )",,06-07-2022
9,,Kamrup,32,42,21,95,"( Kayan | 38 ), ( North Ghy | 57 )",,2.00,"( Kayan | 0.00 ), ( North Ghy | 2.00 )",,06-07-2022
10,,Kamrup (M),594,347,68,1009,"( Sonapur | 148 ), ( Chandrapur | 861 )",,0.00,"( Sonapur | 0.00 ), ( Chandrapur | 0.00 )",,06-07-2022
11,,Karimganj,9300,5922,2608,17830,"( Nilambazar | 6333 ), ( RK Nagar | 1165 ), ( Karimganj | 3959 ), ( Badarpur | 6373 )",,0.00,"( Nilambazar | 0.00 ), ( RK Nagar | 0.00 ), ( Karimganj | 0.00 ), ( Badarpur | 0.00 )",,06-07-2022
12,,Lakhimpur,17,15,8,40,( Subansiri | 40 ),,5.00,( Subansiri | 5.00 ),,06-07-2022
13,,Morigaon,64595,60177,32817,157589,"( Mikirbheta | 18546 ), ( Mayong | 331 ), ( Morigaon | 133042 ), ( Bhuragaon | 5670 )",,6720.50,"( Mikirbheta | 1771.50 ), ( Mayong | 3324.00 ), ( Morigaon | 700.00 ), ( Bhuragaon | 925.00 )",,06-07-2022
14,,Nagaon,70199,66700,52548,189447,"( Kampur | 26525 ), ( Samaguri | 0 ), ( Nagaon | 17375 ), ( Raha | 145547 )",,10806.04,"( Kampur | 2590.00 ), ( Samaguri | 2.50 ), ( Nagaon | 201.00 ), ( Raha | 8012.54 )",,06-07-2022
15,,Sivasagar,1496,1223,1185,3904,"( Sivsagar | 104 ), ( Demow | 3800 )",,43.80,"( Sivsagar | 2.00 ), ( Demow | 41.80 )",,06-07-2022
16,,Sonitpur,0,0,0,0,( Dhekiajuli | 0 ),,119.00,( Dhekiajuli | 119.00 ),,06-07-2022
17,,Tamulpur,545,402,105,1052,"( Goreswar | 1052 ), ( Tamulpur | 0 )",,0.00,"( Goreswar | 0.00 ), ( Tamulpur | 0.00 )",,06-07-2022
18,,Total,375478,347966,244774,968218,,,19589.47,,,06-07-2022
