,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,26972,21878,15767,64617,"( Silchar | 45845 ), ( Katigorah | 18772 )",,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,16-07-2022
1,,Chirang,65,55,33,153,( Bijni | 153 ),,0.00,( Bijni | 0.00 ),,16-07-2022
2,,Morigaon,35127,34007,13689,82823,( Morigaon | 82823 ),,400.00,( Morigaon | 400.00 ),,16-07-2022
3,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,0.00,( Goreswar | 0.00 ),,16-07-2022
4,,Total,62709,56342,29594,148645,,,400.00,,,16-07-2022
