,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Darrang,376,254,120,750,( Mangaldoi | 750 ),,21.00,( Mangaldoi | 21.00 ),,13-06-2022
1,,Dhemaji,1142,1229,793,3164,"( Gogamukh | 1832 ), ( Dhemaji | 236 ), ( Sissiborgaon | 1096 )",,92.00,"( Gogamukh | 35.00 ), ( Dhemaji | 2.00 ), ( Sissiborgaon | 55.00 )",,13-06-2022
2,,South Salmara,0,0,0,0,( Mankachar | 0 ),,87.00,( Mankachar | 87.00 ),,13-06-2022
3,,Total,1518,1483,913,3914,,,200.00,,,13-06-2022
