,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,979,803,712,2494,( Sissiborgaon | 2494 ),682.00,( Sissiborgaon | 682.00 ),30-08-2022
1,,Total,979,803,712,2494,,682.00,,30-08-2022
