,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,457,419,160,1036,"( Dhemaji | 616 ), ( Sissiborgaon | 420 )",64.00,"( Dhemaji | 4.00 ), ( Sissiborgaon | 60.00 )",12-06-2022
1,,Lakhimpur,137,120,56,313,( Subansiri | 313 ),231.00,( Subansiri | 231.00 ),12-06-2022
2,,South Salmara,0,0,0,0,( Mankachar | 0 ),87.00,( Mankachar | 87.00 ),12-06-2022
3,,Total,594,539,216,1349,,382.00,,12-06-2022
