,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Tamulpur,204,160,61,425,( Goreswar | 425 ),,0.00,( Goreswar | 0.00 ),,06-08-2022
1,,Udalguri,125,146,61,332,"( Khairabari | 0 ), ( Harisinga | 332 )",,0.00,"( Khairabari | 0.00 ), ( Harisinga | 0.00 )",,06-08-2022
2,,Total,329,306,122,757,,,0.00,,,06-08-2022
