,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,255,279,123,657,( Sissiborgaon | 657 ),5.50,( Sissiborgaon | 5.50 ),25-08-2022
1,,Total,255,279,123,657,,5.50,,25-08-2022
