,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,16451,12399,12187,41037,"( Udharbond | 957 ), ( Lakhipur | 80 ), ( Sonai | 0 ), ( Silchar | 10000 ), ( Katigorah | 30000 )",,2099.6,"( Udharbond | 129.00 ), ( Lakhipur | 97.00 ), ( Sonai | 157.10 ), ( Silchar | 594.50 ), ( Katigorah | 1122.00 )",,15-05-2022
1,,Dhemaji,315,260,69,644,( Dhemaji | 644 ),,12,( Dhemaji | 12.00 ),,15-05-2022
2,,Hojai,7836,4618,1069,13523,"( Lanka | 0 ), ( Hojai | 13523 ), ( Doboka | 0 )",,5801.5,"( Lanka | 245.50 ), ( Hojai | 5377.00 ), ( Doboka | 179.00 )",,15-05-2022
3,,Karbi Anglong West,500,599,347,1446,( Donkamokam | 1446 ),,0,( Donkamokam | 0.00 ),,15-05-2022
4,,Nagaon,6,8,5,19,"( Raha | 0 ), ( Kampur | 19 )",,2391.54,"( Raha | 1940.54 ), ( Kampur | 451.00 )",,15-05-2022
5,,Nalbari,0,0,0,0,( Ghograpar | 0 ),,16.8,( Ghograpar | 16.80 ),,15-05-2022
6,,Total,25108,17884,13677,56669,,,10321.44,,,15-05-2022
