,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Cachar,4921,3581,1823,10325,"( Katigorah | 4001 ), ( Silchar | 6324 )",,0.00,"( Katigorah | 0.00 ), ( Silchar | 0.00 )",,07-06-2022
1,,Morigaon,1022,856,544,2422,( Morigaon | 2422 ),,1403.00,( Morigaon | 1403.00 ),,07-06-2022
2,,Total,5943,4437,2367,12747,,,1403.00,,,07-06-2022
