,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Darrang,0,0,0,0,( Sipajhar | 0 ),70.00,( Sipajhar | 70.00 ),,13-10-2022
1,,Dhemaji,4299,4123,1500,9922,"( Jonai | 816 ), ( Gogamukh | 7015 ), ( Sissiborgaon | 887 ), ( Dhemaji | 1204 )",1354.90,"( Jonai | 855.90 ), ( Gogamukh | 200.00 ), ( Sissiborgaon | 243.00 ), ( Dhemaji | 56.00 )",,13-10-2022
2,,Dibrugarh,1567,1240,1050,3857,( Chabua | 3857 ),0.00,( Chabua | 0.00 ),,13-10-2022
3,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Dergaon | 0 ), ( Khumtai | 0 )",753.09,"( Bokakhat | 663.50 ), ( Dergaon | 69.00 ), ( Khumtai | 20.59 )",,13-10-2022
4,,Jorhat,0,0,0,0,"( Jorhat West | 0 ), ( Teok | 0 )",89.50,"( Jorhat West | 57.00 ), ( Teok | 32.50 )",,13-10-2022
5,,Lakhimpur,15399,12724,8934,37057,"( Subansiri | 707 ), ( Nowboicha | 28655 ), ( Dhakuakhana | 0 ), ( North Lakhimpur | 7439 ), ( Bihpuria | 256 )",686.00,"( Subansiri | 35.00 ), ( Nowboicha | 0.00 ), ( ",,13-10-2022
6,,Majuli,0,0,0,0,"( Majuli | 0 ), ( Ujani Majuli | 0 )",,723.69,"( Majuli | 452.00 ), ( Ujani Majuli | 271.69 )",13-10-2022
7,,Nagaon,0,0,0,0,( Kampur | 0 ),,105.00,( Kampur | 105.00 ),13-10-2022
8,,Total,21265,18087,11484,50836,,,3782.18,,13-10-2022
