,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,38,33,10,81,"( Sarupeta | 40 ), ( Bajali | 41 )",0.00,"( Sarupeta | 0.00 ), ( Bajali | 0.00 )",,,01-08-2022
1,,Chirang,1092,1072,1789,3953,"( Sidli | 568 ), ( Bengtal | 2988 ), ( Bijni | 397 )",9.20,"( Sidli | 0.00 ), ( Bengtal | 9.20 ), ( Bijni | 0.00 )",,,01-08-2022
2,,Darrang,155,143,56,354,( Sipajhar | 354 ),0.00,( Sipajhar | 0.00 ),,,01-08-2022
3,,Dhemaji,9699,9554,4927,24180,"( Sissiborgaon | 1127 ), ( Dhemaji | 4010 ), ( Gogamukh | 19043 )",4443.00,"( Sissiborgaon | 375.00 ), ( Dhemaji | 197.00 ), ( Gogamukh | 3871.00 )",,,01-08-2022
4,,Jorhat,39,45,28,112,"( Titabor | 0 ), ( Teok | 112 )",12.00,"( Titabor | 12.00 ), ( Teok | 0.00 )",,,01-08-2022
5,,Lakhimpur,1750,1645,835,4230,( Subansiri | 4230 ),109.00,( Subansiri | 109.00 ),,,01-08-2022
6,,Nalbari,385,262,47,694,( Tihu | 694 ),12.00,( Tihu | 12.00 ),,,01-08-2022
7,,Tamulpur,294,215,87,596,"( Goreswar | 425 ), ( Tamulpur | 171 )",98.08,"( Goreswar | 78.00 ), ( Tamulpur | 20.08 )",,,01-08-2022
8,,Udalguri,817,"( Khairabari | 1310 ), ( ( Khairabari | 0.00 ), ( 604 166 1587 0.00 Harisinga | 277 ) Harisinga | 0.00 )",,,,,,,,01-08-2022
9,,Total,14269,13573 7945 35787 4683.28,,,,,,,,01-08-2022
