,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Biswanath,1425,1297,420,3142,"( Halem | 1176 ), ( Gohpur | 1966 )",,,186.30,"( Halem | 11.30 ), ( Gohpur | 175.00 )",,17-07-2022
1,,Cachar,12457,10258,6213,28928,"( Silchar | 15366 ), ( Katigorah | 13562 )",,,0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 )",,17-07-2022
2,,Morigaon,25211,24000,8542,57753,( Morigaon | 57753 ),,,320.00,( Morigaon | 320.00 ),,17-07-2022
3,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,,0.00,( Goreswar | 0.00 ),,17-07-2022
4,,Total,39638,35957,15280,90875,,,,506.30,,,17-07-2022
