,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Darrang,0,0,0,0,( Sipajhar | 0 ),110.00,( Sipajhar | 110.00 ),,,14-10-2022
1,,Dhemaji,3730,3630,1348,8708,"( Dhemaji | 507 ), ( Sissiborgaon | 370 ), ( Gogamukh | 7015 ), ( Jonai | 816 )",2250.40,"( Dhemaji | 16.00 ), ( Sissiborgaon | 15.00 ), ( Gogamukh | 100.00 ), ( Jonai | 2119.40 )",,,14-10-2022
2,,Dhubri,0,0,0,0,"( Chapar | 0 ), ( Bilasipara | 0 )",283.50,"( Chapar | 283.50 ), ( Bilasipara | 0.00 )",,,14-10-2022
3,,Dibrugarh,1567,1240,1050,3857,"( Chabua | 3857 ), ( Dibrugarh West | 0 )",65.00,"( Chabua | 25.00 ), ( Dibrugarh West | 40.00 )",,,14-10-2022
4,,Golaghat,0,0,0,0,"( Dergaon | 0 ), ( Bokakhat | 0 ), ( Khumtai | 0 )",,753.09,"( Dergaon | 69.00 ), ( Bokakhat | 663.50 ), ( Khumtai | 20.59 )",,14-10-2022
5,,Jorhat,0,0,0,0,( Jorhat West | 0 ),,103.00,( Jorhat West | 103.00 ),,14-10-2022
6,,Kokrajhar,0,0,0,0,( Bagribari | 0 ),,259.63,( Bagribari | 259.63 ),,14-10-2022
7,,Lakhimpur,10848,8967,6241,26056,"( Subansiri | 37 ), ( North Lakhimpur | 7439 ), ( Nowboicha | 18580 ), ( Narayanpur | 0 ), ( Dhakuakhana | 0 ), ( Bihpuria | 0 )",,2094.50,"( Subansiri | 20.00 ), ( North Lakhimpur | 0.00 ), ( Nowboicha | 0.00 ), ( Narayanpur | 293.00 ), ( Dhakuakhana | 400.00 ), ( Bihpuria | 1381.50 )",,14-10-2022
8,,Majuli,0,0,0,0,"( Ujani Majuli | 0 ), ( Majuli | 0 )",,581.19,"( Ujani Majuli | 272.69 ), ( Majuli | 308.50 )",,14-10-2022
9,,Nagaon,0,0,0,0,"( Nagaon | 0 ), ( Kampur | 0 )",,279.00,"( Nagaon | 174.00 ), ( Kampur | 105.00 )",,14-10-2022
10,,Tinsukia,985,848,833,2666,( Tinsukia | 2666 ),,238.00,( Tinsukia | 238.00 ),,14-10-2022
11,,Total,17130,14685,9472,41287,,,7017.31,,,14-10-2022
