,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,178500,139200,34850,352550,"( Bajali | 160000 ), ( Sarupeta | 192550 )",520.00,"( Bajali | 0.00 ), ( Sarupeta | 520.00 )",,,18-06-2022
1,,Baksa,14001,11151,7658,32810,"( Barnagar RC part | 22064 ), ( Baska | 1140 ), ( Jalah | 3317 ), ( Baganpara | 4855 ), ( Barama | 1434 )",748.07,"( Barnagar RC part | 498.00 ), ( Baska | 35.07 ), ( Jalah | 147.00 ), ( Baganpara | 43.00 ), ( Barama | 25.00 )",,,18-06-2022
2,,Barpeta,306120,267810,157114,731044,"( Kalgachia | 105700 ), ( Chenga | 121150 ), ( Barpeta | 105228 ), ( Barnagar | 9865 ), ( Sarthebari | 335837 ), ( Baghbar | 53264 )",13771.33,"( Kalgachia | 1822.50 ), ( Chenga | 1256.00 ), ( Barpeta | 6230.00 ), ( Barnagar | 1757.50 ), ( Sarthebari | 1860.33 ), ( Baghbar | 845.00 )",,,18-06-2022
3,,Biswanath,851,693,547,2091,( Halem | 2091 ),38.50,( Halem | 38.50 ),,,18-06-2022
4,,Bongaigaon,45834,40938,26140,112912,"( Manikpur | 103609 ), ( Bongaigaon | 0 ), ( Dangtol | 0 ), ( Srijangram | 8718 ), ( Boitamari | 585 )",2413.50,"( Manikpur | 1946.00 ), ( Bongaigaon | 196.50 ), ( Dangtol | 271.00 ), ( Srijangram | 0.00 ), ( Boitamari | 0.00 )",,,18-06-2022
5,,Cachar,9805,8759,4343,22907,"( Silchar | 4570 ), ( Katigorah | 17871 ), ( Udharbond | 96 ), ( Lakhipur | 80 ), ( Sonai | 290 )",0.00,"( Silchar | 0.00 ), ( Katigorah | 0.00 ), ( Udharbond | 0.00 ), ( Lakhipur | 0.00 ), ( Sonai | 0.00 )",,,18-06-2022
6,,Chirang,5294,5328,4150,14772,"( Bijni | 9082 ), ( Sidli | 2808 ), ( Bengtal | 2882 )",2871.50,"( Bijni | 2871.50 ), ( Sidli | 0.00 ), ( Bengtal | 0.00 )",,,18-06-2022
7,,Darrang,145525,126716,81971,354212,"( Dalgaon | 122440 ), ( Patharighat | 75294 ), ( Mangaldoi | 120007 ), ( Sipajhar | 36471 )",7463.70,"( Dalgaon | 3795.50 ), ( Patharighat | 1181.20 ), ( Mangaldoi | 1572.00 ), ( Sipajhar | 915.00 )",,,18-06-2022
8,,Dhemaji,13454,12822,6558,32834,"( Gogamukh | 17117 ), ( Sissiborgaon | 7721 ), ( Jonai | 4462 ), ( Dhemaji | 3534 )",4521.50,"( Gogamukh | 510.00 ), ( Sissiborgaon | 405.00 ), ( Jonai | 3565.50 ), ( Dhemaji | 41.00 )",,,18-06-2022
9,,Dhubri,7805,7970,4564,20339,"( Dhubri | 0 ), ( Gauripur | 0 ), ( South Salmara Part | 12655 ), ( Bilasipara | 6545 ), ( Golakganj | 66 ), ( Athani | 503 ), ( Chapar | 570 )",4870.70,"( Dhubri | 478.00 ), ( Gauripur | 265.30 ), ( South Salmara Part | 2069.00 ), ( Bilasipara | 0.00 ), ( Golakganj | 0.00 ), ( Athani | 1040.20 ), ( Chapar | 1018.20 )",,,18-06-2022
