,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,,Crop Area ( in Hect. ),Crop Area Details,,Date
0,,Bajali,155,165,35,355,( Sarupeta | 355 ),,0.00,( Sarupeta | 0.00 ),,08-07-2022
1,,Cachar,214559,20136,147390,563312,"( Sonai | 81739 ), ( Silchar | 218238 ), ( Lakhipur | 50150 ), ( Katigorah | 213185 )",,0.00,"( Sonai | 0.00 ), ( Silchar | 0.00 ), ( Lakhipur | 0.00 ), ( Katigorah | 0.00 )",,08-07-2022
2,,Chirang,65,55,33,153,( Bijni | 153 ),,0.00,( Bijni | 0.00 ),,08-07-2022
3,,Dibrugarh,723,483,86,1292,"( Moran | 0 ), ( Dibrugarh West | 1292 ), ( Naharkatia | 0 )",,6.51,"( Moran | 3.06 ), ( Dibrugarh West | 0.00 ), ( Naharkatia | 3.45 )",,08-07-2022
4,,Golaghat,0,0,0,0,( Bokakhat | 0 ),,29.00,( Bokakhat | 29.00 ),,08-07-2022
5,,Hailakandi,3150,2225,1345,6720,"( Lala | 0 ), ( Hailakandi | 0 ), ( Katlicherra | 0 ), ( Algapur | 6720 )",,0.00,"( Lala | 0.00 ), ( Hailakandi | 0.00 ), ( Katlicherra | 0.00 ), ( Algapur | 0.00 )",,08-07-2022
6,,Hojai,0,0,0,0,"( Doboka | 0 ), ( Hojai | 0 )",,113.00,"( Doboka | 75.00 ), ( Hojai | 38.00 )",,08-07-2022
7,,Kamrup,34,42,17,93,"( Kayan | 38 ), ( North Ghy | 55 )",,2.00,"( Kayan | 0.00 ), ( North Ghy | 2.00 )",,08-07-2022
8,,Karimganj,8113,4962,1993,15068,"( Nilambazar | 6234 ), ( Karimganj | 3171 ), ( Badarpur | 5663 ), ( Patherkandi | 0 )",,0.00,"( Nilambazar | 0.00 ), ( Karimganj | 0.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 )",,08-07-2022
9,,Morigaon,62391,58110,31203,151704,"( Mikirbheta | 18546 ), ( Mayong | 158 ), ( Bhuragaon | 0 ), ( Morigaon | 133000 )",,5496.50,"( Mikirbheta | 1771.50 ), ( Mayong | 2525.00 ), ( Bhuragaon | 560.00 ), ( Morigaon | 640.00 )",,08-07-2022
10,,Nagaon,53008,50033,41823,144864,"( Nagaon | 7074 ), ( Raha | 137790 )",,7870.22,"( Nagaon | 85.00 ), ( Raha | 7785.22 )",,08-07-2022
11,,Sivasagar,1449,1142,973,3564,( Demow | 3564 ),,32.53,( Demow | 32.53 ),,08-07-2022
12,,Tamulpur,545,402,105,1052,( Goreswar | 1052 ),,853.00,( Goreswar | 853.00 ),,08-07-2022
13,,Total,344192,318982,225003,888177,,,14402.76,,,08-07-2022
