,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,15156,15182,3892,34230,"( Sarupeta | 31500 ), ( Bajali | 2730 )",115.00,"( Sarupeta | 115.00 ), ( Bajali | 0.00 )",,,28-06-2022
1,,Baksa,30,52,14,96,( Baska | 96 ),0.00,( Baska | 0.00 ),,,28-06-2022
2,,Barpeta,223165,215698,134080,572943,"( Barpeta | 45731 ), ( Baghbar | 172727 ), ( Kalgachia | 19222 ), ( Chenga | 84623 ), ( Sarthebari | 250640 )",26684.50,"( Barpeta | 650.00 ), ( Baghbar | 18983.00 ), ( Kalgachia | 1623.00 ), ( Chenga | 3348.50 ), ( Sarthebari | 2080.00 )",,,28-06-2022
3,,Biswanath,27282,23430,12173,62885,"( Halem | 34568 ), ( Gohpur | 28181 ), ( Biswanath | 136 )",1878.00,"( Halem | 1083.00 ), ( Gohpur | 785.00 ), ( Biswanath | 10.00 )",,,28-06-2022
4,,Bongaigaon,4586,2490,3021,10097,"( Manikpur | 7155 ), ( Srijangram | 2942 )",236.00,"( Manikpur | 236.00 ), ( Srijangram | 0.00 )",,,28-06-2022
5,,Cachar,325083,302114,234969,862166,"( Katigorah | 217613 ), ( Sonai | 118500 ), ( Udharbond | 53208 ), ( Silchar | 437145 ), ( Lakhipur | 35700 )",10630.00,"( Katigorah | 2718.74 ), ( Sonai | 2915.00 ), ( Udharbond | 1049.26 ), ( Silchar | 1922.00 ), ( Lakhipur | 2025.00 )",,,28-06-2022
6,,Chirang,1792,1724,573,4089,"( Bijni | 3406 ), ( Sidli | 446 ), ( Bengtal | 237 )",2444.90,"( Bijni | 2444.90 ), ( Sidli | 0.00 ), ( Bengtal | 0.00 )",,,28-06-2022
7,,Darrang,23775,21249,9836,54860,"( Mangaldoi | 22577 ), ( Dalgaon | 0 ), ( Sipajhar | 27055 ), ( Patharighat | 5228 )",5033.00,"( Mangaldoi | 3418.00 ), ( Dalgaon | 0.00 ), ( Sipajhar | 1615.00 ), ( Patharighat | 0.00 )",,,28-06-2022
8,,Dhemaji,9278,7909,7413,24600,"( Sissiborgaon | 5978 ), ( Jonai | 17774 ), ( Dhemaji | 848 )",5189.50,"( Sissiborgaon | 975.00 ), ( Jonai | 4180.50 ), ( Dhemaji | 34.00 )",,,28-06-2022
9,,Dibrugarh,1690,1335,1138,4163,"( Chabua | 3857 ), ( Moran | 306 )",7.00,"( Chabua | 3.00 ), ( Moran | 4.00 )",,,28-06-2022
10,,Goalpara,7232,5878,2692,15802,"( Balijana | 7504 ), ( Lakhipur | 8298 )",98.00,"( Balijana | 98.00 ), ( Lakhipur | 0.00 )",,,28-06-2022
11,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",53.00,"( Bokakhat | 40.00 ), ( Khumtai | 13.00 )",,,28-06-2022
12,,Hailakandi,389,319,67,775,"( Lala | 0 ), ( Hailakandi | 775 ), ( Katlicherra | 0 ), ( Algapur | 0 )",,0.00,"( Lala | 0.00 ), ( Hailakandi | 0.00 ), ( Katlicherra | 0.00 ), ( Algapur | 0.00 )",,28-06-2022
13,,Hojai,811,494,179,1484,( Hojai | 1484 ),,54.00,( Hojai | 54.00 ),,28-06-2022
14,,Kamrup,32006,18287,18629,68922,"( Rangia | 0 ), ( Chamaria | 0 ), ( Kamalpur | 253 ), ( Hajo | 60480 ), ( North Ghy | 8141 ), ( Kayan | 48 )",,1010.00,"( Rangia | 95.00 ), ( Chamaria | 69.50 ), ( Kamalpur | 0.00 ), ( Hajo | 480.00 ), ( North Ghy | 21.00 ), ( Kayan | 344.50 )",,28-06-2022
15,,Kamrup (M),745,510,0,1255,"( Chandrapur | 0 ), ( Sonapur | 1255 )",,766.50,"( Chandrapur | 40.00 ), ( Sonapur | 726.50 )",,28-06-2022
16,,Karimganj,55545,32850,15963,104358,"( Nilambazar | 16940 ), ( RK Nagar | 28500 ), ( Badarpur | 28528 ), ( Patherkandi | 98 ), ( Karimganj | 30292 )",,0.00,"( Nilambazar | 0.00 ), ( RK Nagar | 0.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 ), ( Karimganj | 0.00 )",,28-06-2022
17,,Lakhimpur,17382,12740,8377,38499,"( Subansiri | 0 ), ( North Lakhimpur | 10070 ), ( Nowboicha | 9231 ), ( Narayanpur | 13100 ), ( Dhakuakhana | 67 ), ( Bihpuria | 6031 ), ( Kadam | 0 )",,972.60,"( Subansiri | 739.40 ), ( North Lakhimpur | 0.00 ), ( Nowboicha | 0.00 ), ( Narayanpur | 38.00 ), ( Dhakuakhana | 55.00 ), ( Bihpuria | 68.95 ), ( Kadam | 71.25 )",,28-06-2022
18,,Morigaon,39164,35509,20353,95026,"( Mikirbheta | 15418 ), ( Mayong | 5941 ), ( Bhuragaon | 0 ), ( Morigaon | 73667 )",,10826.00,"( Mikirbheta | 692.00 ), ( Mayong | 7326.00 ), ( Bhuragaon | 558.00 ), ( Morigaon | 2250.00 )",,28-06-2022
19,,Nagaon,183790,172141,160891,516822,"( Nagaon | 102790 ), ( Raha | 156032 ), ( Kampur | 258000 )",,18749.62,"( Nagaon | 500.00 ), ( Raha | 9999.62 ), ( Kampur | 8250.00 )",,28-06-2022
20,,Nalbari,7350,6183,2260,15793,"( Paschim Nalbari | 7433 ), ( Barbhag | 8360 )",,693.00,"( Paschim Nalbari | 554.00 ), ( Barbhag | 139.00 )",,28-06-2022
21,,Sonitpur,73,117,68,258,( Dhekiajuli | 258 ),,226.00,( Dhekiajuli | 226.00 ),,28-06-2022
22,,Tamulpur,1100,1009,881,2990,( Goreswar | 2990 ),,0.00,( Goreswar | 0.00 ),,28-06-2022
23,,Tinsukia,160,135,196,491,( Doomdooma | 491 ),,7.00,( Doomdooma | 7.00 ),,28-06-2022
24,,Udalguri,153,91,65,309,"( Udalguri | 309 ), ( Harisinga | 0 ), ( Khairabari | 0 ), ( Kalaigaon | 0 )",,0.00,"( Udalguri | 0.00 ), ( Harisinga | 0.00 ), ( Khairabari | 0.00 ), ( Kalaigaon | 0.00 )",,28-06-2022
25,,Total,977737,877446,637730,2492913,,,85673.62,,,28-06-2022
