,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,180000,140000,35000,355000,"( Sarupeta | 195000 ), ( Bajali | 160000 )",20.00,"( Sarupeta | 20.00 ), ( Bajali | 0.00 )",,,17-06-2022
1,,Baksa,27497,19609,18814,65920,"( Barnagar RC part | 51222 ), ( Baska | 1780 ), ( Baganpara | 3583 ), ( Barama | 1359 ), ( Jalah | 7976 )",1081.72,"( Barnagar RC part | 830.00 ), ( Baska | 32.72 ), ( Baganpara | 43.00 ), ( Barama | 30.00 ), ( Jalah | 146.00 )",,,17-06-2022
2,,Barpeta,68997,61214,38759,168970,"( Barpeta | 45088 ), ( Sarthebari | 122952 ), ( Kalgachia | 0 ), ( Barnagar | 0 ), ( Chenga | 930 ), ( Baghbar | 0 )",7592.30,"( Barpeta | 178.00 ), ( Sarthebari | 37.00 ), ( Kalgachia | 1666.50 ), ( Barnagar | 901.50 ), ( Chenga | 724.00 ), ( Baghbar | 4085.30 )",,,17-06-2022
3,,Biswanath,367,298,526,1191,( Halem | 1191 ),27.00,( Halem | 27.00 ),,,17-06-2022
4,,Bongaigaon,33068,27703,19815,80586,"( Manikpur | 75850 ), ( Bongaigaon | 925 ), ( Srijangram | 1569 ), ( Boitamari | 585 ), ( Dangtol | 1657 )",2908.50,"( Manikpur | 2712.00 ), ( Bongaigaon | 196.50 ), ( Srijangram | 0.00 ), ( Boitamari | 0.00 ), ( Dangtol | 0.00 )",,,17-06-2022
5,,Chirang,5115,3809,5788,14712,"( Sidli | 1786 ), ( Bengtal | 846 ), ( Bijni | 12080 )",365.60,"( Sidli | 22.10 ), ( Bengtal | 65.00 ), ( Bijni | 278.50 )",,,17-06-2022
6,,Darrang,114434,103598,72373,290405,"( Patharighat | 75294 ), ( Dalgaon | 120340 ), ( Mangaldoi | 81207 ), ( Sipajhar | 13564 )",7058.70,"( Patharighat | 1181.20 ), ( Dalgaon | 3795.50 ), ( Mangaldoi | 1572.00 ), ( Sipajhar | 510.00 )",,,17-06-2022
7,,Dhemaji,12391,11765,6049,30205,"( Jonai | 4716 ), ( Gogamukh | 15759 ), ( Sissiborgaon | 8131 ), ( Dhemaji | 1599 )",2525.00,"( Jonai | 1728.00 ), ( Gogamukh | 457.00 ), ( Sissiborgaon | 310.00 ), ( Dhemaji | 30.00 )",,,17-06-2022
8,,Dhubri,9701,8777,3803,22281,"( Chapar | 900 ), ( South Salmara Part | 11805 ), ( Athani | 318 ), ( Bilasipara | 9258 ), ( Agamoni | 0 )",5192.80,"( Chapar | 1018.20 ), ( South Salmara Part | 0.00 ), ( Athani | 1040.20 ), ( Bilasipara | 2919.40 ), ( Agamoni | 215.00 )",,,17-06-2022
9,,Dibrugarh,2870,2204,1593,6667,( Chabua | 6667 ),3.50,( Chabua | 3.50 ),,,17-06-2022
