,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Karbi Anglong West,675,675,723,2073,( Donkamokam | 2073 ),0.00,( Donkamokam | 0.00 ),23-08-2022
1,,Tinsukia,205,157,133,495,( Margherita | 495 ),0.00,( Margherita | 0.00 ),23-08-2022
2,,Total,880,832,856,2568,,0.00,,23-08-2022
