,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Karbi Anglong,0,0,0,0,( Phuloni | 0 ),96.31,( Phuloni | 96.31 ),08-10-2022
1,,Total,0,0,0,0,,96.31,,08-10-2022
