,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Dhemaji,1100,900,480,2480,( Sissiborgaon | 2480 ),291.00,( Sissiborgaon | 291.00 ),03-09-2022
1,,Total,1100,900,480,2480,,291.00,,03-09-2022
