,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,Date
0,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",229.00,"( Bokakhat | 225.00 ), ( Khumtai | 4.00 )",18-10-2022
1,,Total,0,0,0,0,,229.00,,18-10-2022
