,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,455,570,255,1280,( Sarupeta | 1280 ),0.00,( Sarupeta | 0.00 ),,,05-07-2022
1,,Barpeta,6701,7906,4767,19374,"( Barpeta | 850 ), ( Baghbar | 18524 ), ( Kalgachia | 0 )",2365.50,"( Barpeta | 650.00 ), ( Baghbar | 1127.00 ), ( Kalgachia | 588.50 )",,,05-07-2022
2,,Biswanath,2361,1965,503,4829,"( Gohpur | 2737 ), ( Halem | 2033 ), ( Biswanath | 59 )",294.50,"( Gohpur | 275.00 ), ( Halem | 19.50 ), ( Biswanath | 0.00 )",,,05-07-2022
3,,Cachar,231783,216355,183470,631608,"( Udharbond | 8157 ), ( Sonai | 117547 ), ( Lakhipur | 60150 ), ( Silchar | 221748 ), ( Katigorah | 224006 )",0.00,"( Udharbond | 0.00 ), ( Sonai | 0.00 ), ( Lakhipur | 0.00 ), ( Silchar | 0.00 ), ( Katigorah | 0.00 )",,,05-07-2022
4,,Chirang,173,210,130,513,"( Bengtal | 0 ), ( Bijni | 513 )",0.00,"( Bengtal | 0.00 ), ( Bijni | 0.00 )",,,05-07-2022
5,,Darrang,6135,5818,826,12779,"( Patharighat | 1424 ), ( Mangaldoi | 11355 ), ( Sipajhar | 0 ), ( Dalgaon | 0 )",6511.00,"( Patharighat | 1500.00 ), ( Mangaldoi | 3418.00 ), ( Sipajhar | 1593.00 ), ( Dalgaon | 0.00 )",,,05-07-2022
6,,Dibrugarh,2793,1374,877,5044,"( Moran | 1359 ), ( Chabua | 0 ), ( Tingkhong | 37 ), ( Dibrugarh West | 3461 ), ( Dibrugarh East | 187 ), ( Naharkatia | 0 )",146.21,"( Moran | 7.53 ), ( Chabua | 0.00 ), ( Tingkhong | 0.00 ), ( Dibrugarh West | 112.63 ), ( Dibrugarh East | 0.00 ), ( Naharkatia | 26.05 )",,,05-07-2022
7,,Goalpara,845,706,512,2063,( Balijana | 2063 ),25.00,( Balijana | 25.00 ),,,05-07-2022
8,,Golaghat,0,0,0,0,"( Bokakhat | 0 ), ( Khumtai | 0 )",60.50,"( Bokakhat | 57.00 ), ( Khumtai | 3.50 )",,,05-07-2022
9,,Hailakandi,6540,4355,3480,14375,"( Hailakandi | 0 ), ( Lala | 0 ), ( Katlicherra | 0 ), ( Algapur | 14375 )",0.00,"( Hailakandi | 0.00 ), ( Lala | 0.00 ), ( Katlicherra | 0.00 ), ( Algapur | 0.00 )",,,05-07-2022
10,,Kamrup,54,61,23,138,"( Kayan | 38 ), ( North Ghy | 100 )",2.00,"( Kayan | 0.00 ), ( North Ghy | 2.00 )",,,05-07-2022
11,,Kamrup (M),684,437,68,1189,"( Chandrapur | 861 ), ( Sonapur | 328 )",0.00,"( Chandrapur | 0.00 ), ( Sonapur | 0.00 )",,,05-07-2022
12,,Karimganj,10880,6404,2951,20235,"( Nilambazar | 6333 ), ( Karimganj | 4262 ), ( RK Nagar | 2028 ), ( Badarpur | 7612 ), ( Patherkandi | 0 )",0.00,"( Nilambazar | 0.00 ), ( Karimganj | 0.00 ), ( RK Nagar | 0.00 ), ( Badarpur | 0.00 ), ( Patherkandi | 0.00 )",,,05-07-2022
13,,Morigaon,67245,62856,34811,164912,"( Mikirbheta | 18546 ), ( Morigaon | 133042 ), ( Mayong | 794 ), ( Bhuragaon | 12530 )",5758.50,"( Mikirbheta | 1771.50 ), ( Morigaon | 700.00 ), ( Mayong | 2362.00 ), ( Bhuragaon | 925.00 )",,,05-07-2022
14,,Nagaon,87275,80734,64854,232863,"( Nagaon | 38708 ), ( Samaguri | 0 ), ( Raha | 148962 ), ( Kampur | 45193 )",14438.02,"( Nagaon | 320.00 ), ( Samaguri | 3.00 ), ( Raha | 8925.02 ), ( Kampur | 5190.00 )",,,05-07-2022
15,,Sivasagar,1500,1219,1185,3904,"( Sivsagar | 104 ), ( Demow | 3800 )",36.00,"( Sivsagar | 5.00 ), ( Demow | 31.00 )",,,05-07-2022
16,,Sonitpur,0,0 0 0 ( Dhekiajuli | 0 ) 144.00 ( Dhekiajuli | 144.00 ),,,,,,,,05-07-2022
17,,Tamulpur,705,605 408 1718 ( Goreswar | 1718 ) 0.00 ( Goreswar | 0.00 ),,,,,,,,05-07-2022
18,,Total,426129,39157  299120 1116824 29781.23 5,,,,,,,,05-07-2022
