,population and crop area affected,District,Male,Female,Children,Total Population,Population Details,Crop Area ( in Hect. ),Crop Area Details,,,Date
0,,Bajali,89,75,19,183,( Bajali | 183 ),194,( Bajali | 194.00 ),,,16-05-2022
1,,Baksa,20,14,7,41,( Baksa | 41 ),0,( Baksa | 0.00 ),,,16-05-2022
2,,Biswanath,2520,2002,992,5514,"( Gohpur | 1500 ), ( Halem | 2013 ), ( Biswanath | 2001 )",360,"( Gohpur | 150.00 ), ( Halem | 210.00 ), ( Biswanath | 0.00 )",,,16-05-2022
3,,Cachar,19571,17519,14267,51357,"( Udharbond | 957 ), ( Sonai | 0 ), ( Lakhipur | 400 ), ( Silchar | 10000 ), ( Katigorah | 40000 )",1187.6,"( Udharbond | 59.00 ), ( Sonai | 300.60 ), ( Lakhipur | 8.00 ), ( Silchar | 594.50 ), ( Katigorah | 225.50 )",,,16-05-2022
4,,Charaideo,27,22,18,67,( Sapekhati | 67 ),0,( Sapekhati | 0.00 ),,,16-05-2022
5,,Darrang,7111,3483,2088,12682,"( Patharighat | 1495 ), ( Dalgaon | 7970 ), ( Mangaldoi | 3217 )",219,"( Patharighat | 0.00 ), ( Dalgaon | 0.00 ), ( Mangaldoi | 219.00 )",,,16-05-2022
6,,Dhemaji,315,260,69,644,"( Dhemaji | 644 ), ( Jonai | 0 )",54,"( Dhemaji | 12.00 ), ( Jonai | 42.00 )",,,16-05-2022
7,,Dibrugarh,1963,1503,1158,4624,"( Chabua | 4587 ), ( Naharkatia | 37 )",3.5,"( Chabua | 3.50 ), ( Naharkatia | 0.00 )",,,16-05-2022
8,,Dima-Hasao,500,500,270,1270,( Haflong | 1270 ),0,( Haflong | 0.00 ),,,16-05-2022
9,,Hojai,41607,29296,7254,78157,"( Lanka | 1034 ), ( Hojai | 29795 ), ( Doboka | 47328 )",4611.5,"( Lanka | 245.50 ), ( Hojai | 3940.00 ), ( Doboka | 426.00 )",,,16-05-2022
10,,Kamrup,155,138,66,359,( Rangia | 359 ),160,( Rangia | 160.00 ),,,16-05-2022
11,,Karbi Anglong West,1132,1172,1549,3853,( Donkamokam | 3853 ),,0,( Donkamokam | 0.00 ),,16-05-2022
12,,Kokrajhar,0,0,0,0,"( Bhawraguri | 0 ), ( Gossaigaon | 0 ), ( Bagribari | 0 )",,499.86,"( Bhawraguri | 52.63 ), ( Gossaigaon | 92.88 ), ( Bagribari | 354.35 )",,16-05-2022
13,,Lakhimpur,2253,2172,1872,6297,"( Nowboicha | 0 ), ( Narayanpur | 248 ), ( Bihpuria | 6049 )",,108,"( Nowboicha | 25.00 ), ( Narayanpur | 10.00 ), ( Bihpuria | 73.00 )",,16-05-2022
14,,Majuli,0,0,0,0,"( Ujani Majuli | 0 ), ( Majuli | 0 )",,80,"( Ujani Majuli | 32.00 ), ( Majuli | 48.00 )",,16-05-2022
15,,Nagaon,7612,4801,3004,15417,"( Raha | 0 ), ( Kampur | 15417 )",,5387.75,"( Raha | 2230.75 ), ( Kampur | 3157.00 )",,16-05-2022
16,,Nalbari,48,38,19,105,"( Paschim Nalbari | 0 ), ( Ghograpar | 0 ), ( Tihu | 105 )",,35.4,"( Paschim Nalbari | 1.40 ), ( Ghograpar | 14.00 ), ( Tihu | 20.00 )",,16-05-2022
17,,Sonitpur,2352,1924,2095,6371,"( Dhekiajuli | 1340 ), ( Thelamara | 0 ), ( Chariduar | 4002 ), ( Tezpur | 1029 )",,370,"( Dhekiajuli | 107.00 ), ( Thelamara | 12.00 ), ( Chariduar | 151.00 ), ( Tezpur | 100.00 )",,16-05-2022
18,,Tamulpur,530,410,60,1000,( Goreswar | 1000 ),,0,( Goreswar | 0.00 ),,16-05-2022
19,,Udalguri,4314,3411,1582,9307,"( Harisinga | 0 ), ( Khairabari | 619 ), ( Udalguri | 2242 ), ( Kalaigaon | 4232 ), ( Mazbat | 2214 )",,3375,"( Harisinga | 0.00 ), ( Khairabari | 166.00 ), ( Udalguri | 3209.00 ), ( Kalaigaon | 0.00 ), ( Mazbat | 0.00 )",,16-05-2022
20,,Total,92119,68740,36389,197248,,,16645.61,,,16-05-2022
